evidence_id,garden_id,company_id,evidence_type,event_type,title,url,publisher,published_date,retrieved_date,language,supports_active,supports_inactive,ownership_from,ownership_to,relationship,confidence,manual_review,excerpt,notes
goodricke-meenglas-20260902,gs-dooars-meenglass,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,high,no,Meenglas is included in the current 12-garden Dooars list.,Linked to atlas spelling Meenglass.
goodricke-sankos-20260902,gs-dooars-sankos,,company,operating,Goodricke current Dooars garden list,https://goodricketea.com/pages/our-gardens,Goodricke Group Limited,2026-09-02,2026-09-02,English,yes,no,,Goodricke Group Limited,owner_and_operator,high,no,Sankos is included in the current 12-garden Dooars list.,Observation date used because the live page has no publication date.
indong-operating-20260902,gs-dooars-indong,,company,operating,Indong Tea Company current overview,https://indongteaco.com/overview.html,Indong Tea Company Limited,2026-09-02,2026-09-02,English,yes,no,,Indong Tea Company Limited,owner_and_operator,high,no,The company states that it has one garden named Indong Tea Estate producing CTC tea in Dooars.,Observation date used because the live page has no publication date.
commerce-dalsingpara-20250318,gs-dooars-dalsingpara,,official,temporary_closure,Lok Sabha answer on closed tea gardens,https://sansad.in/getFile/loksabhaquestions/annex/184/AU2834_RhlaJE.pdf?source=pqals,Ministry of Commerce and Industry,2025-03-18,2026-09-02,English,no,yes,,,,,medium,no,Dalsingpara was reported closed with closure date 15 October 2023.,Recheck before contact because gardens can reopen.
commerce-ramjhora-20250318,gs-dooars-ramjhora,,official,temporary_closure,Lok Sabha answer on closed tea gardens,https://sansad.in/getFile/loksabhaquestions/annex/184/AU2834_RhlaJE.pdf?source=pqals,Ministry of Commerce and Industry,2025-03-18,2026-09-02,English,no,yes,,,,,medium,no,Ramjhora was reported closed with closure date 1 November 2023.,Recheck before contact because gardens can reopen.
commerce-dheklapara-20250318,gs-dooars-dheklapara,,official,temporary_closure,Lok Sabha answer on closed tea gardens,https://sansad.in/getFile/loksabhaquestions/annex/184/AU2834_RhlaJE.pdf?source=pqals,Ministry of Commerce and Industry,2025-03-18,2026-09-02,English,no,yes,,,,,medium,no,Dheklapara was reported closed with closure date 14 December 2023.,Recheck before contact because gardens can reopen.
commerce-sonali-20250318,gs-dooars-sonali,,official,temporary_closure,Lok Sabha answer on closed tea gardens,https://sansad.in/getFile/loksabhaquestions/annex/184/AU2834_RhlaJE.pdf?source=pqals,Ministry of Commerce and Industry,2025-03-18,2026-09-02,English,no,yes,,,,,medium,no,Sonali was reported closed with closure date 30 December 2023.,Recheck before contact because gardens can reopen.
commerce-lankapara-20250318,gs-dooars-lankapara,,official,temporary_closure,Lok Sabha answer on closed tea gardens,https://sansad.in/getFile/loksabhaquestions/annex/184/AU2834_RhlaJE.pdf?source=pqals,Ministry of Commerce and Industry,2025-03-18,2026-09-02,English,no,yes,,,,,medium,no,Lankapara was reported closed with closure date 28 January 2016.,Recheck before contact because gardens can reopen.
commerce-raipur-20250318,gs-dooars-raipur,,official,temporary_closure,Lok Sabha answer on closed tea gardens,https://sansad.in/getFile/loksabhaquestions/annex/184/AU2834_RhlaJE.pdf?source=pqals,Ministry of Commerce and Industry,2025-03-18,2026-09-02,English,no,yes,,,,,medium,no,Raipur was reported closed with closure date 12 September 2016.,Recheck before contact because gardens can reopen.
news-dalmore-reopened-20250218,gs-dooars-dalmore,,news,reopening,Tea industry response to closed-garden figures,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Millennium Post,2025-02-18,2026-09-02,English,yes,no,,,,,medium,yes,Dalmore was reported as reopened recently.,Likely active only. Confirm with a current company or direct contact.
news-kalchini-reopened-20250218,gs-dooars-kalchini,,news,reopening,Tea industry response to closed-garden figures,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Millennium Post,2025-02-18,2026-09-02,English,yes,no,,,,,medium,yes,Kalchini was reported as reopened recently.,Likely active only. Confirm with a current company or direct contact.
news-raimatang-reopened-20250218,gs-dooars-raimatang,,news,reopening,Tea industry response to closed-garden figures,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Millennium Post,2025-02-18,2026-09-02,English,yes,no,,,,,medium,yes,Raimatang was reported as reopened recently.,Likely active only. Confirm with a current company or direct contact.
news-samsing-operating-20250218,gs-dooars-samsing,,news,operating,Tea industry response to closed-garden figures,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Millennium Post,2025-02-18,2026-09-02,English,yes,no,,,,,medium,yes,Samsing was reported operational for years.,Likely active only. Confirm with a current company or direct contact.
news-kumlai-operating-20250218,gs-dooars-kumlai,,news,operating,Tea industry response to closed-garden figures,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Millennium Post,2025-02-18,2026-09-02,English,yes,no,,,,,medium,yes,Kumlai was reported operational for years.,Likely active only. Confirm with a current company or direct contact.
news-manabari-operating-20250218,gs-dooars-manabarie,,news,operating,Tea industry response to closed-garden figures,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Millennium Post,2025-02-18,2026-09-02,English,yes,no,,,,,medium,yes,Manabari was reported operational for years.,Linked to registry spelling Manabarie. Confirm identity and current status.
news-bamandanga-operating-20250218,gs-dooars-bamandanga-tondoo,,news,operating,Tea industry response to closed-garden figures,https://www.millenniumpost.in/bengal/tea-industry-reacts-to-centres-misleading-data-on-closed-gardens-599358,Millennium Post,2025-02-18,2026-09-02,English,yes,no,,,,,low,yes,Bamandanga was reported operational for years.,Linked provisionally to Bamandanga Tondoo. Confirm identity before use.
andrew-yule-banarhat-20260902,gs-dooars-banarhat,,company,operating,Andrew Yule current West Bengal garden list,https://www.andrewyule.com/westbengal_garden.php,Andrew Yule & Company Limited,2026-09-02,2026-09-02,English,yes,no,,Andrew Yule & Company Limited,owner_or_operator,high,no,Banarhat is listed as a current Dooars tea estate.,Observation date used because the live page has no publication date.
andrew-yule-choonabhuti-20260902,gs-dooars-choonabhuti,,company,operating,Andrew Yule current West Bengal garden list,https://www.andrewyule.com/westbengal_garden.php,Andrew Yule & Company Limited,2026-09-02,2026-09-02,English,yes,no,,Andrew Yule & Company Limited,owner_or_operator,high,no,Choonabhutti is listed as a current Dooars tea estate.,Linked to registry spelling Choonabhuti.
andrew-yule-karballa-20260902,gs-dooars-karballa,,company,operating,Andrew Yule current West Bengal garden list,https://www.andrewyule.com/westbengal_garden.php,Andrew Yule & Company Limited,2026-09-02,2026-09-02,English,yes,no,,Andrew Yule & Company Limited,owner_or_operator,high,no,Karballa is listed as a current Dooars tea estate.,Observation date used because the live page has no publication date.
andrew-yule-new-dooars-20260902,gs-dooars-new-duars,,company,operating,Andrew Yule current West Bengal garden list,https://www.andrewyule.com/westbengal_garden.php,Andrew Yule & Company Limited,2026-09-02,2026-09-02,English,yes,no,,Andrew Yule & Company Limited,owner_or_operator,high,no,New Dooars is listed as a current Dooars tea estate.,Registry normalizes Dooars to Duars for matching.
mcleod-central-dooars-20260902,gs-dooars-central-duars,,company,operating,McLeod Russel current India garden list,https://www.mcleodrussel.com/business/india.aspx,McLeod Russel India Limited,2026-09-02,2026-09-02,English,yes,no,,McLeod Russel India Limited,owner_or_operator,high,no,Central Dooars is listed under Alipurduar with current area and crop details.,Observation date used because the live page has no publication date.
mcleod-mathura-20260902,gs-dooars-mathura,,company,operating,McLeod Russel current India garden list,https://www.mcleodrussel.com/business/india.aspx,McLeod Russel India Limited,2026-09-02,2026-09-02,English,yes,no,,McLeod Russel India Limited,owner_or_operator,high,no,Mathura is listed under Alipurduar with current area and crop details.,Observation date used because the live page has no publication date.
dianatea-diana-20260902,gs-dooars-diana,,company,operating,Diana Tea current Dooars garden list,https://www.dianatea.in/our-gardens.php,Diana Tea Company Limited,2026-09-02,2026-09-02,English,yes,no,,Diana Tea Company Limited,owner_and_operator,high,no,Diana is listed as the flagship tea garden of Diana Tea Company Limited in Dooars.,Observation date used because the live page has no publication date.
dianatea-baintgoorie-20260902,gs-dooars-baintgoorie,,company,operating,Diana Tea current Dooars garden list,https://www.dianatea.in/our-gardens.php,Diana Tea Company Limited,2026-09-02,2026-09-02,English,yes,no,,Diana Tea Company Limited,owner_and_operator,high,no,Baintgoorie is listed as one of Diana Tea Company three gardens in Dooars.,Observation date used because the live page has no publication date.
dianatea-goodhope-20260902,gs-dooars-goodhope,,company,operating,Diana Tea current Dooars garden list,https://www.dianatea.in/our-gardens.php,Diana Tea Company Limited,2026-09-02,2026-09-02,English,yes,no,,Diana Tea Company Limited,owner_and_operator,high,no,Goodhope is listed as one of Diana Tea Company three gardens in Dooars.,Observation date used because the live page has no publication date.
gillanders-gairkhata-20260902,gs-dooars-gairkhata,,company,operating,Gillanders Arbuthnot current tea division overview,https://www.gillandersarbuthnot.com/tea-division/,Gillanders Arbuthnot & Co. Limited,2026-09-02,2026-09-02,English,yes,no,,Gillanders Arbuthnot & Co. Limited,owner_and_operator,high,no,Gairkhata Tea Estate and Hindupara division are listed as active CTC production gardens in Dooars.,Observation date used because the live page has no publication date.
rydak-rydak-20260902,gs-dooars-rydak,,company,operating,Rydak Syndicate current tea estates list,https://www.rydaksyndicate.com/tea-estates/,Rydak Syndicate Limited,2026-09-02,2026-09-02,English,yes,no,,Rydak Syndicate Limited,owner_and_operator,high,no,Rydak Tea Estate is listed under Rydak Syndicate operations in Dooars.,Observation date used because the live page has no publication date.
rydak-kartick-20260902,gs-dooars-kartick,,company,operating,Rydak Syndicate current tea estates list,https://www.rydaksyndicate.com/tea-estates/,Rydak Syndicate Limited,2026-09-02,2026-09-02,English,yes,no,,Rydak Syndicate Limited,owner_and_operator,high,no,Kartick Tea Estate is listed under Rydak Syndicate operations in Alipurduar/Dooars.,Observation date used because the live page has no publication date.
rydak-baradighi-20260902,gs-dooars-baradighi,,company,operating,Rydak Syndicate current tea estates list,https://www.rydaksyndicate.com/tea-estates/,Rydak Syndicate Limited,2026-09-02,2026-09-02,English,yes,no,,Rydak Syndicate Limited,owner_and_operator,high,no,Baradighi Tea Estate is listed under Rydak Syndicate operations in Jalpaiguri/Dooars.,Observation date used because the live page has no publication date.
rydak-kalabari-20260902,gs-dooars-kalabari,,company,operating,Rydak Syndicate current tea estates list,https://www.rydaksyndicate.com/tea-estates/,Rydak Syndicate Limited,2026-09-02,2026-09-02,English,yes,no,,Rydak Syndicate Limited,owner_and_operator,high,no,Kalabari Tea Estate is listed under Rydak Syndicate operations in Dooars.,Observation date used because the live page has no publication date.
octavius-nya-sylee-20260902,gs-dooars-nya-sylee,,company,operating,Octavius Tea current estate operations,https://www.octavius.in,Octavius Tea & Industries Limited,2026-09-02,2026-09-02,English,yes,no,,Octavius Tea & Industries Limited,owner_and_operator,high,no,Nya Sylee Tea Estate in Nagrakata is operated by Octavius with active tea and heritage estate operations.,Observation date used because the live page has no publication date.
octavius-sylee-20260902,gs-dooars-sylee,,company,operating,Octavius Tea current estate operations,https://www.octavius.in,Octavius Tea & Industries Limited,2026-09-02,2026-09-02,English,yes,no,,Octavius Tea & Industries Limited,owner_and_operator,high,no,Sylee Tea Estate in Damdim is operated by Octavius with active tea and heritage estate operations.,Observation date used because the live page has no publication date.
appl-damdim-20260902,gs-dooars-damdim,,company,operating,APPL current Dooars tea estates,https://www.amalgamatedplantations.co.in,Amalgamated Plantations Private Limited,2026-09-02,2026-09-02,English,yes,no,,Amalgamated Plantations Private Limited,owner_and_operator,high,no,Damdim is operated by APPL as one of its Dooars tea estates in Jalpaiguri.,Observation date used because the live page has no publication date.
appl-rungamuttee-20260902,gs-dooars-rungamuttee,,company,operating,APPL current Dooars tea estates,https://www.amalgamatedplantations.co.in,Amalgamated Plantations Private Limited,2026-09-02,2026-09-02,English,yes,no,,Amalgamated Plantations Private Limited,owner_and_operator,high,no,Rungamuttee is operated by APPL as one of its Dooars tea estates in Malbazar/Jalpaiguri.,Observation date used because the live page has no publication date.
appl-nowera-nuddy-20260902,gs-dooars-nowera-nuddy,,company,operating,APPL current Dooars tea estates,https://www.amalgamatedplantations.co.in,Amalgamated Plantations Private Limited,2026-09-02,2026-09-02,English,yes,no,,Amalgamated Plantations Private Limited,owner_and_operator,high,no,Nowera Nuddy is operated by APPL in the Neora/Malbazar area of Dooars.,Observation date used because the live page has no publication date.
news-torsa-reopened-20250120,gs-dooars-torsa,,news,reopening,Ahead of CM visit 4 tea gardens reopened in Alipurduar,https://www.millenniumpost.in/bengal/ahead-of-cms-visit-4-tea-gardens-reopened-in-alipurduar-595304,Millennium Post,2025-01-20,2026-09-02,English,yes,no,,Majherdabri Tea Garden authority,operator,medium,yes,Torsa was reported reopened in January 2025 under Majherdabri management following tripartite agreement.,Likely active only. Confirm with current management or direct contact.
client-rheabari-20260902,gs-dooars-rheabari,,official,operating,GardenSuite active client record,https://gardensuite.in,Sarbani Associates,2026-09-02,2026-09-02,English,yes,no,,,,,high,no,Rheabari Tea Estate is a confirmed active operating estate and current GardenSuite client.,Existing client exclusion applies to cold outreach.
client-mogalkata-20260902,gs-dooars-mogalkata,,official,operating,GardenSuite active client record,https://gardensuite.in,Sarbani Associates,2026-09-02,2026-09-02,English,yes,no,,,,,high,no,Mogulkata Tea Estate is a confirmed active operating estate and current GardenSuite client.,Existing client exclusion applies to cold outreach.
client-rahimpur-20260902,gs-dooars-rahimpur,,official,operating,GardenSuite active client record,https://gardensuite.in,Sarbani Associates,2026-09-02,2026-09-02,English,yes,no,,,,,high,no,Rahimpur Tea Estate is a confirmed active operating estate and current GardenSuite client.,Existing client exclusion applies to cold outreach.
client-debpara-20260902,gs-dooars-debpara,,official,operating,GardenSuite active client record,https://gardensuite.in,Sarbani Associates,2026-09-02,2026-09-02,English,yes,no,,,,,high,no,Debpara Tea Estate is a confirmed active operating estate and current GardenSuite client.,Existing client exclusion applies to cold outreach.
client-kurti-20260902,gs-dooars-kurti,,official,operating,GardenSuite active client record,https://gardensuite.in,Sarbani Associates,2026-09-02,2026-09-02,English,yes,no,,,,,high,no,Kurti Tea Estate is a confirmed active operating estate and current GardenSuite client.,Existing client exclusion applies to cold outreach.
client-looksun-20260902,gs-dooars-looksun,,official,operating,GardenSuite active client record,https://gardensuite.in,Sarbani Associates,2026-09-02,2026-09-02,English,yes,no,,,,,high,no,Looksan Tea Estate is a confirmed active operating estate and current GardenSuite client.,Existing client exclusion applies to cold outreach.
client-subhasini-20260902,gs-dooars-subhasini,,official,operating,GardenSuite active client record,https://gardensuite.in,Sarbani Associates,2026-09-02,2026-09-02,English,yes,no,,,,,high,no,Subhasini Tea Estate is a confirmed active operating estate and current GardenSuite client.,Existing client exclusion applies to cold outreach.
