Serial,Garden Name,Reg No,Region,District,Subdivision,Company Status,Grant Area (Ha),Tea Area (Ha),Association,Estate Address,Estate Phone,Estate Email,Owner Entity,Directory Owner Address,Directory Owner Phone,Directory Owner Email,CEO Name,CEO Phone,CEO Email,HQ City,Scraped HQ Name,Scraped HQ Address,Scraped HQ PIN Code,Scraped HQ Phone,Scraped HQ Website,Latitude,Longitude,Place ID,Google Maps URL,HQ Match Status
11,"ENGO TEA ESTATE","2417","Dooars","JALPAIGURI","MATELLI","Proprietorship",161.18,109.14,"ITA","P.O. MATELLI, DIST-JALPAIGURI, W.B.","92233620518","","ENGO TRADING & TEA CO.(P)","LTD., 135/BRB, BASU ROAD KOL-1","033-22133069","engotea2008@gmail.com","MR ASHOK KUMAR BHUWALKA","09831029757","engotea2008@gmail.com","Kolkata","Engo Tea Co. Ltd.","FLOOR, FLAT NO.5A, Engo Tea Co. Ltd., 12, 5TH, Pretoria St, Kolkata, West Bengal 700071","700071","033 3029 5000","",22.544324,88.351635,"ChIJY_C_FRd3AjoRQ06FHCmola0","https://www.google.com/maps/place/?q=place_id:ChIJY_C_FRd3AjoRQ06FHCmola0","matched"
12,"GOOD HOPE TEA ESTATE","2294","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",599.8,418.29,"ITA","GOOD HOPE T.E. P.O., DAMDIM,DIST:JALPAIGURI ,PIN:73520","","","DIANA TEA CO. LTD.","M/S. DIANA TEA CO. LTD., ,3B,LALBAZAR STREET,KOLKATA-","","","MR. MONOJ AGARWAL","","","Kolkata","Diana Tea Company Limited","4th Floor, Diana Tea Company Limited, SIR RNM House, 3/B, Lal Bazar St, Lal Bazar, Kolkata, West Bengal 700001","700001","033 2248 8672","http://dianatea.in/",22.571953,88.35202,"ChIJrz92paV3AjoRgq3T0Eb5lA8","https://maps.google.com/maps/preview/place/4th+Floor,+Diana+Tea+Company+Limited,+SIR+RNM+House,+3%2FB,+Lal+Bazar+St,+Lal+Bazar,+Kolkata,+West+Bengal+700001/@22.571953,88.35202,3684a,13.1y/data=!4m2!3m1!1s0x3a0277a5a5763faf:0xf94f946d0d3ad82","matched"
13,"GOPALPUR TEA ESTATE","152","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",829.6,510.27,"TRA","JALPAIGURI, WEST BENGAL","03563220086","gopal_tea@bsnl.in","THE GOPALPUR TEA COMPANY LIMITED","FLAT 12,30,CHOWRANGHEE, ROAD,KOLKATA 16","03322291725","gopalpurtea@gmail.com","SHRI NATHMAL MAHESWARI","9330715151","gopalpurtea@gmail.com","Kolkata","THE GOPALPUR TEA CO. LTD.","THE GOPALPUR TEA CO. LTD., 3rd Floor, Suite No.12, 30 Chowringhee Road, Kolkata, West Bengal 700013","700013","033 2229 1684","",22.562625,88.3511611,"ChIJ33o0YBF3AjoRpq_szvLAbpY","https://maps.google.com/maps/preview/place/THE+GOPALPUR+TEA+CO.+LTD.,+3rd+Floor,+Suite+No.12,+30+Chowringhee+Road,+Kolkata,+West+Bengal+700013/@22.562625,88.3511611,3684a,13.1y/data=!4m2!3m1!1s0x3a02771160347adf:0x966ec0f2ceecafa6","matched"
14,"GURJANGJHORA TEA ESTATE","25","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",326.36,268.81,"TRA","P.O. MAL, DIST. JALPAIGURI","9641404338","","GURJANGJHORA TEA &","INDUSTRIES LTD.,, 'CENTRE POINT, 28/2,, SHAKESPEARE SARANI, 4TH, FLOOR, FLAT NO.401, KOLKATA- E-, 700017, E-, Mail :kalyanigroupho@rediffmail.com","03561230172","kalyanigroupho@rediffmail.com","MR.S.SAHA","03561230172","kalyanigroupho@rediffmail.com","Kolkata","Gurjang Jhora Tea Garden","Gurjang Jhora Tea Garden, West Bengal","","","",26.900056799999998,88.727746,"ChIJ65jzgUQJ5DkRDvFeJ40qxVE","https://www.google.com/maps/place/?q=place_id:ChIJ65jzgUQJ5DkRDvFeJ40qxVE","matched"
15,"INDONG TEA ESTATE","2649","Dooars","JALPAIGURI","MATELLI","Proprietorship",740.38,483.84,"ITPA","INDONG, T.E.P.O.MATELLI,DIST:JALPAIGURI.-, 735223","09434600437","","INDONG TEA CO. PVT. LTD.","4,INDIA EXCHANGE, PLACE,KOLKATA700 001","03322303281","devvrat61@sifi.com","MR. DEVVRAT GUPTA","03322303281","devvrat61@sifi.com","Kolkata","Indong Tea Company Limited","Indong Tea Company Limited, Sikkim Commerce House, 4/1, Middleton St, Kankaria Estates, Park Street area, Kolkata, West Bengal 700071","700071","033 4006 3601","http://indongteaco.com/",22.5485722,88.3512777,"ChIJ77Vb9xB3AjoRkwxWaJGEYQo","https://maps.google.com/maps/preview/place/Indong+Tea+Company+Limited,+Sikkim+Commerce+House,+4%2F1,+Middleton+St,+Kankaria+Estates,+Park+Street+area,+Kolkata,+West+Bengal+700071/@22.5485722,88.3512777,3685a,13.1y/data=!4m2!3m1!1s0x3a027710f75bb5ef:0xa61849168560c93","matched"
16,"JOGESH CHANDRA TEA ESTATE","148","Dooars","JALPAIGURI","MATELLI","Proprietorship",577.11,463.47,"ITA","P.O : MALHATI, DIST : JALPAIGURI, WEST BENGAL","9733473975","","MALHATI TEA AND INDS. LTD.","233,SEVOKE ROAD, 2ND MILE,SILIGURI, WEST BENGAL.","0353-2544704","","MR.NARENDRA BARELIA","9434048605","","Siliguri","Malhati Division","PMG6+3VP Malhati Division, Jogesh Chandra Tea Garden, West Bengal 735218","735218","","",26.7252184,88.662202,"ChIJT_xjz5Zz5DkReLONZrdK_Fk","https://www.google.com/maps/place/?q=place_id:ChIJT_xjz5Zz5DkReLONZrdK_Fk","partial"
17,"KAILASHPUR TEA ESTATE","1812","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",404.81,294.54,"ITA","P.O : OODLABARI, DIST:JALPAIGURI, WEST BENGAL","7797802384","kpte.jal@gmail.com","THE FRIENDS TEA COMPANY LTD. MR. RANJIT BALOW","RAHUT BUILDING                  RAHUT B, BABUPARA,                       BABUPAR, JALPAIGURI                      JALPAIG, WEST BENGAL                     Tel :03","03","friendst@rediffmail.com","UILDING","","friendst@rediffmail.com","Jalpaiguri","Praakritik Tea Industries Pvt Ltd","HJMH+7Q5 Praakritik Tea Industries Pvt Ltd, Patkata Colony, Denguajhar, Jalpaiguri, West Bengal 735133","735133","","",26.5832081,88.6294798,"ChIJ2VfuSABl5DkRNpcRXBcIp9g","https://www.google.com/maps/place/?q=place_id:ChIJ2VfuSABl5DkRNpcRXBcIp9g","matched"
18,"KILLCOTT","B-9","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",632.44,431.25,"","P.O. MATELLI, DIST: JALPAIGURI","9932911652","killtg@duncans-tea.com","DUNCANS INDUSTRIES LIMITED","P.O. MATELLI, DIST: JALPAIGURI","9932911652","killtg@duncans-tea.com","DUNCANS INDUSTRIES LIMITED","9932911652","killtg@duncans-tea.com","Jalpaiguri","Duncans Tea Limited","4th Floor, Duncans Tea Limited, Duncan House, 31, Netaji Subhas Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001","700001","033 2242 1605","https://www.duncanstea.in/",22.5758118,88.3490346,"ChIJhZmnTbt3AjoRLq_WvutvPsY","https://maps.google.com/maps/preview/place/4th+Floor,+Duncans+Tea+Limited,+Duncan+House,+31,+Netaji+Subhas+Rd,+Murgighata,+B.B.D.+Bagh,+Kolkata,+West+Bengal+700001/@22.5758118,88.3490346,3684a,13.1y/data=!4m2!3m1!1s0x3a0277bb4da79985:0xc63e6febbed6af2e","matched"
19,"LEESH RIVER TEAGARDEN","B-02","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",1029.43,634.61,"ITA","PO BAGRAKOTE, DST JALPIGURI","03562-245269","leesh@goodricke.com","GOODRICKE GROUP LIMITED","14, GURUSADAY RD KOL 19","033-22873065","sebi@goodricke.com","MR A N SINGH","033-22873065","sebi@goodricke.com","Kolkata","Goodricke Group Limited","Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019","700019","033 2287 3067","https://www.goodricketea.com/",22.5353048,88.36169489999999,"ChIJ7V-kwCB3AjoRm_bV8GLZkww","https://maps.google.com/maps/preview/place/Goodricke+Group+Limited,+14,+Gurusaday+Dutta+Rd,+Beck+Bagan,+Ballygunge,+Kolkata,+West+Bengal+700019/@22.5353048,88.3616949,3685a,13.1y/data=!4m2!3m1!1s0x3a027720c0a45fed:0xc93d962f0d5f69b","matched"
20,"MALNADY TEA ESTATE","28","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",144.28,97.69,"","POST MAL, DIST-JALPAIGURI","03434339664","malnady.te@gmail.com","MALNADY TEA ESTATE PVT. LTD., MALNADY TEA ESTATE PVT. LTD.,","MALNADY TEA ESTATE PVT, LTD., MALNADY TEA, GOPAL BHAWAN, 2ND FLOOR,      GOPAL BHAWA, CHURCH ROAD, SILIGURI-1       CHURCH ROAD","03532432548","","ESTATE PVT, LTD.,","","","Siliguri","Malnady Tea Garden office","2ND FLOOR, Malnady Tea Garden office, Gopal Bhawan, Church Rd, Ward 10, Janta Nagar, Siliguri, West Bengal 734001","734001","","",26.7180713,88.4233677,"ChIJlZks-GlB5DkRddzFighaec4","https://maps.google.com/maps/preview/place/2ND+FLOOR,+Malnady+Tea+Garden+office,+Gopal+Bhawan,+Church+Rd,+Ward+10,+Janta+Nagar,+Siliguri,+West+Bengal+734001/@26.7180713,88.4233677,3564a,13.1y/data=!4m2!3m1!1s0x39e44169f82c9995:0xce795a088ac5dc75","matched"
21,"MANABARRIE","2307","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",521.72,292,"ITPA","P.O. MANABARI, DT JALPAIGURI,, WEST BENGAL","03562-250061","manabarite@indiatimes.com","TODI TEA CO. LTD.","2, LAL BAZAR STREET, KOLKATA, 700001","033-22101842","toditea@indiatimes.com","N. P. TODI","033-22101842","toditea@indiatimes.com","Kolkata","Todi Tea Company","Todi Tea Company, 114, Rabindra Sarani, Malapara, Santoshpur, Jorabagan, Kolkata, West Bengal 700007","700007","","",22.586793999999998,88.358207,"ChIJCf0ES6V3AjoRviSaRPT-fv0","https://maps.google.com/maps/preview/place/Todi+Tea+Company,+114,+Rabindra+Sarani,+Malapara,+Santoshpur,+Jorabagan,+Kolkata,+West+Bengal+700007/@22.586794,88.358207,3684a,13.1y/data=!4m2!3m1!1s0x3a0277a54b04fd09:0xfd7efef4449a24be","matched"
22,"MATELLI TEA ESTATE","N 8&9","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",1046,730.08,"ITA","MATELLI T.E P.O: MATELLI DIST:, JALPAIGURI","03562242211,242230","matelliteaestate@gmail.com","LUXMI TEA COMPANY LIMITED","17,R.N MUKHERJEE ROAD, KISHORE BHAVAN ,KOLKATA-, 7000001","","","LUXMI TEA COMPANY LIMITED","","","Kolkata","Luxmi Tea Company Private Limited","Luxmi Tea Company Private Limited, 17, RN Mukherjee Rd, B.B.D. Bagh, Kolkata, West Bengal 700001","700001","033 2248 4437","https://www.luxmitea.in/",22.5703909,88.3516927,"ChIJA6Pf2aV3AjoRTeyZT1y40Yw","https://maps.google.com/maps/preview/place/Luxmi+Tea+Company+Private+Limited,+17,+RN+Mukherjee+Rd,+B.B.D.+Bagh,+Kolkata,+West+Bengal+700001/@22.5703909,88.3516927,3684a,13.1y/data=!4m2!3m1!1s0x3a0277a5d9dfa303:0x8cd1b85c4f99ec4d","matched"
23,"MEENGLAS TEA GARDEN","B-5","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",928.56,617.82,"ITA","P.O. SAILIHAT,DIST-JALPAIGURI,WB","92337-91401","meen@goodricke.com","GOODRICKE GROUP LIMITED","CAMELLIA HOUSE,14, GURUSADAY ROAD,KOL-19","033-22873067","meen@goodricke.com","MR A.N.SINGH","033-22873067","goodricke@vsnl.com","Kolkata","Goodricke Group Limited","Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019","700019","033 2287 3067","https://www.goodricketea.com/",22.5353048,88.36169489999999,"ChIJ7V-kwCB3AjoRm_bV8GLZkww","https://maps.google.com/maps/preview/place/Goodricke+Group+Limited,+14,+Gurusaday+Dutta+Rd,+Beck+Bagan,+Ballygunge,+Kolkata,+West+Bengal+700019/@22.5353048,88.3616949,3685a,13.1y/data=!4m2!3m1!1s0x3a027720c0a45fed:0xc93d962f0d5f69b","matched"
24,"NAGAISUREE","B-8","Dooars","JALPAIGURI","MATELLI","Proprietorship",964.19,629.97,"TRA","P.O. MATELLI, DIST-JALPAIGURI,WB","9333057984","nagtg@ducans-tea.com","DUNCANS INDUSTRIES LIMITED","31, N.S. CHANDRA ROAD, KOL-1, tea.com","033-2200962","","MR M.GURBAXANI","033-2200962","","Kolkata","Duncans Tea Limited","4th Floor, Duncans Tea Limited, Duncan House, 31, Netaji Subhas Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001","700001","033 2242 1605","https://www.duncanstea.in/",22.5758118,88.3490346,"ChIJhZmnTbt3AjoRLq_WvutvPsY","https://maps.google.com/maps/preview/place/4th+Floor,+Duncans+Tea+Limited,+Duncan+House,+31,+Netaji+Subhas+Rd,+Murgighata,+B.B.D.+Bagh,+Kolkata,+West+Bengal+700001/@22.5758118,88.3490346,3684a,13.1y/data=!4m2!3m1!1s0x3a0277bb4da79985:0xc63e6febbed6af2e","matched"
25,"NEDAM TEA ESTATE","J-25","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",355.73,255.83,"ITA","PO MAL JALPAIGURI","03562200208","nbtcl@rediffmail.com","NORTHERN BENGAL TEA","CORPORATION LTD, ATIABARI BUILDING DBC ROAD, JALPIGURI","03561230733","nbtcl@rediffmail.com","ANAND AGARWAL","9434022153","nbtcl@rediffmail.com","Jalpaiguri","Northern Bengal Tea Corporation Limited","Atiabari Building, Kadamtalla, Northern Bengal Tea Corporation Limited, Jalpaiguri, West Bengal 735101","735101","03561 230 733","",26.5200566,88.73977719999999,"ChIJq6qqqjp55DkR2q-bxy_qy1g","https://maps.google.com/maps/preview/place/Atiabari+Building,+Kadamtalla,+Northern+Bengal+Tea+Corporation+Limited,+Jalpaiguri,+West+Bengal+735101/@26.5200566,88.7397772,3570a,13.1y/data=!4m2!3m1!1s0x39e4793aaaaaaaab:0x58cbea2fc79bafda","matched"
26,"NEPUCHAPUR TEA ESTATE","05","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",400.02,296.35,"TRA","NEPUCHAPUR T.E P.O: BARADIGHI, DIST: JALPAIGURI, E-, Mail :carlton.kinglee@nepuchapurtea.c, m","03562240324","","DIPALI DASGUPTA","NEPUCHAPUR TEA CO LTD 5A,NC, DUTTA SARANI KOLKATA-700001","03322302646","","MR. RAJA RAY","9830882010","raja.ray@nepuchapurtea.com","Kolkata","Dipali Dasgupta Bari","Dipali Dasgupta Bari, 61, Patwari Para Rd, Patwari Para, Haltu, Kolkata, West Bengal 700075","700075","","",22.4983233,88.39243359999999,"ChIJV9Y5QgBxAjoRZS2zZmKlXfs","https://maps.google.com/maps/preview/place/Dipali+Dasgupta+Bari,+61,+Patwari+Para+Rd,+Patwari+Para,+Haltu,+Kolkata,+West+Bengal+700075/@22.4983233,88.3924336,3686a,13.1y/data=!4m2!3m1!1s0x3a0271004239d657:0xfb5da56266b32d65","matched"
27,"NEW GLENCO TEA ESTATE","2390","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",550.72,349.78,"ITA","MALBAZAR,, JALPAIGURI,WESTBENGAL","03532510831","soongachi@gmail.com","SOONGACHI TEA INDUSTRIES (P) LTD","ARJUN ENCLAVE,TEA AUCTION, ROAD,SILIGURI","03532510831","soongachi@gmail.com","S.K.SARIA","9434001426","soongachi@gmail.com","Siliguri","Soongachi Tea !! BEST TEA SUPPLIERS IN SILIGURI !! BEST TEA MANUFACTURER IN SILIGURI !! BEST TEA WHOLESALER IN SILIGURI","Soongachi Tea !! BEST TEA SUPPLIERS IN SILIGURI !! BEST TEA MANUFACTURER IN SILIGURI !! BEST TEA WHOLESALER IN SILIGURI, Arjun Enclave C & E Block 1st Floor, Tea Auction Rd, Green Park Colony, Siliguri, West Bengal 734003","734003","","http://soongachitea.in/",26.7353167,88.4103323,"ChIJnVdlNi9B5DkR6WCl_xfs7ck","https://maps.google.com/maps/preview/place/Soongachi+Tea+!!+BEST+TEA+SUPPLIERS+IN+SILIGURI+!!+BEST+TEA+MANUFACTURER+IN+SILIGURI+!!+BEST+TEA+WHOLESALER+IN+SILIGURI,+Arjun+Enclave+C+%26+E+Block+1st+Floor,+Tea+Auction+Rd,+Green+Park+Colony,+Siliguri,+West+Bengal+734003/@26.7353167,88.4103323,3563a,13.1y/data=!4m2!3m1!1s0x39e4412f3665579d:0xc9edec17ffa560e9","matched"
28,"OODLABARI TEA ESTATE","276","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",623.41,484.18,"ITA","P.O: MANABARI, DIST. : JALPAIGURI","03562-250306","oodlabariteagarden@hotmail.co","SHRI AJOY KUMAR NAHATA","OODLABARI TEA CO.LTD., 11,R.N.MUKHERJEE ROAD,, KOLKATA-01","033-22481101","oodlabari@hotmail.com","NOT APPLICABLE","033-22481101","oodlabari@hotmail.com","Kolkata","Oodlabari","Oodlabari, RN Mukherjee Rd, Chowringhee North, Bow Barracks, Kolkata, West Bengal 700001","700001","033 2248 1101","https://oodlabari.co.in/Company/AboutUs",22.570344,88.3499701,"ChIJe6yzIVN2AjoRza9yZc6FWUI","https://www.google.com/maps/place/?q=place_id:ChIJe6yzIVN2AjoRza9yZc6FWUI","partial"
