sl,name,type,region,district,company,decision_maker,hq_city,hq_address,phone,email,scale,reg_no
11,ENGO TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,ENGO TRADING & TEA CO.(P),MR ASHOK KUMAR BHUWALKA,Kolkata,"FLOOR, FLAT NO.5A, Engo Tea Co. Ltd., 12, 5TH, Pretoria St, Kolkata, West Bengal 700071",033 3029 5000,engotea2008@gmail.com,109.1 Ha,2417
12,GOOD HOPE TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,DIANA TEA CO. LTD.,MR. MONOJ AGARWAL,Kolkata,"4th Floor, Diana Tea Company Limited, SIR RNM House, 3/B, Lal Bazar St, Lal Bazar, Kolkata, West Bengal 700001",033 2248 8672,-,418.3 Ha,2294
13,GOPALPUR TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,THE GOPALPUR TEA COMPANY LIMITED,SHRI NATHMAL MAHESWARI,Kolkata,"THE GOPALPUR TEA CO. LTD., 3rd Floor, Suite No.12, 30 Chowringhee Road, Kolkata, West Bengal 700013",033 2229 1684,gopal_tea@bsnl.in,510.3 Ha,152
14,GURJANGJHORA TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,GURJANGJHORA TEA &,MR.S.SAHA,Kolkata,"Gurjang Jhora Tea Garden, West Bengal",9641404338,kalyanigroupho@rediffmail.com,268.8 Ha,25
15,INDONG TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,INDONG TEA CO. PVT. LTD.,MR. DEVVRAT GUPTA,Kolkata,"Indong Tea Company Limited, Sikkim Commerce House, 4/1, Middleton St, Kankaria Estates, Park Street area, Kolkata, West Bengal 700071",033 4006 3601,devvrat61@sifi.com,483.8 Ha,2649
16,JOGESH CHANDRA TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,MALHATI TEA AND INDS. LTD.,MR.NARENDRA BARELIA,Siliguri,"PMG6+3VP Malhati Division, Jogesh Chandra Tea Garden, West Bengal 735218",9733473975,-,463.5 Ha,148
17,KAILASHPUR TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,THE FRIENDS TEA COMPANY LTD. MR. RANJIT BALOW,UILDING,Jalpaiguri,"HJMH+7Q5 Praakritik Tea Industries Pvt Ltd, Patkata Colony, Denguajhar, Jalpaiguri, West Bengal 735133",7797802384,kpte.jal@gmail.com,294.5 Ha,1812
18,KILLCOTT,Organized Estate,Dooars,Jalpaiguri,DUNCANS INDUSTRIES LIMITED,DUNCANS INDUSTRIES LIMITED,Jalpaiguri,"4th Floor, Duncans Tea Limited, Duncan House, 31, Netaji Subhas Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2242 1605,killtg@duncans-tea.com,431.2 Ha,B-9
19,LEESH RIVER TEAGARDEN,Organized Estate,Dooars,Jalpaiguri,GOODRICKE GROUP LIMITED,MR A N SINGH,Kolkata,"Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",033 2287 3067,leesh@goodricke.com,634.6 Ha,B-02
20,MALNADY TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,"MALNADY TEA ESTATE PVT. LTD., MALNADY TEA ESTATE PVT. LTD.,","ESTATE PVT, LTD.,",Siliguri,"2ND FLOOR, Malnady Tea Garden office, Gopal Bhawan, Church Rd, Ward 10, Janta Nagar, Siliguri, West Bengal 734001",03434339664,malnady.te@gmail.com,97.7 Ha,28
21,MANABARRIE,Organized Estate,Dooars,Jalpaiguri,TODI TEA CO. LTD.,N. P. TODI,Kolkata,"Todi Tea Company, 114, Rabindra Sarani, Malapara, Santoshpur, Jorabagan, Kolkata, West Bengal 700007",03562-250061,manabarite@indiatimes.com,292.0 Ha,2307
22,MATELLI TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,LUXMI TEA COMPANY LIMITED,LUXMI TEA COMPANY LIMITED,Kolkata,"Luxmi Tea Company Private Limited, 17, RN Mukherjee Rd, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2248 4437,matelliteaestate@gmail.com,730.1 Ha,N 8&9
23,MEENGLAS TEA GARDEN,Organized Estate,Dooars,Jalpaiguri,GOODRICKE GROUP LIMITED,MR A.N.SINGH,Kolkata,"Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",033 2287 3067,meen@goodricke.com,617.8 Ha,B-5
24,NAGAISUREE,Organized Estate,Dooars,Jalpaiguri,DUNCANS INDUSTRIES LIMITED,MR M.GURBAXANI,Kolkata,"4th Floor, Duncans Tea Limited, Duncan House, 31, Netaji Subhas Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2242 1605,nagtg@ducans-tea.com,630.0 Ha,B-8
25,NEDAM TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,NORTHERN BENGAL TEA,ANAND AGARWAL,Jalpaiguri,"Atiabari Building, Kadamtalla, Northern Bengal Tea Corporation Limited, Jalpaiguri, West Bengal 735101",03561 230 733,nbtcl@rediffmail.com,255.8 Ha,J-25
26,NEPUCHAPUR TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,DIPALI DASGUPTA,MR. RAJA RAY,Kolkata,"Dipali Dasgupta Bari, 61, Patwari Para Rd, Patwari Para, Haltu, Kolkata, West Bengal 700075",03562240324,raja.ray@nepuchapurtea.com,296.4 Ha,05
27,NEW GLENCO TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,SOONGACHI TEA INDUSTRIES (P) LTD,S.K.SARIA,Siliguri,"Soongachi Tea !! BEST TEA SUPPLIERS IN SILIGURI !! BEST TEA MANUFACTURER IN SILIGURI !! BEST TEA WHOLESALER IN SILIGURI, Arjun Enclave C & E Block 1st Floor, Tea Auction Rd, Green Park Colony, Siliguri, West Bengal 734003",03532510831,soongachi@gmail.com,349.8 Ha,2390
28,OODLABARI TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,SHRI AJOY KUMAR NAHATA,NOT APPLICABLE,Kolkata,"Oodlabari, RN Mukherjee Rd, Chowringhee North, Bow Barracks, Kolkata, West Bengal 700001",033 2248 1101,oodlabariteagarden@hotmail.co,484.2 Ha,276
29,PUTHARJHORA TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,PUTHARJHORA TEA GARDEN,MR. K.C.AGARWAL,Kolkata,"Putharjhora organic tea garden,factory, TEA GARDEN FACTORY LINE, Patharjhora Tea Garden, West Bengal 735231",934079907,tpiptg@gmail.com,369.4 Ha,2611
30,RAJA TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,ABHIJIT TEA CO.(P) LTD.,MR.V.D.DUA,Siliguri,"Deesha Trade Endeavours P. Ltd., 195, Sukanta Sarani, opp. Bsnl Residential Complex, New Milanpally, Saktigarh, Siliguri, West Bengal 734005",03562255023,teraitea@gmail.com,417.7 Ha,2293
31,RANICHERRA TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,RANICHERRA TEA CO.LTD,PRADEEP KUMAR GOEL,Jalpaiguri,"RANICHERRA TEA COMPANY LIMITED, MATELLI BAZAR MATELLI , JALPAIGURI WEST BENGAL PIN, Jalpaiguri, West Bengal 735223",084367 16419,ranicherra_tea@rediffmail.com,715.3 Ha,2588
32,RUNGAMUTTEE TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,AMALGAMATED PLANTATIONS,MR DEEPAK ATAL(MD),Kolkata,"G8RX+3C2 Amalgamated Plantations Pvt. Ltd., 1, Bishop Lefroy Rd, Near Rabindra Sadan METRO Gate, Sreepally, Bhowanipore, Kolkata, West Bengal 700020",033 6605 3750,-,771.7 Ha,A4
33,SONALI TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,SHRI RAJHESH JHUNJHUNWALA,SHRI RAJHESH JHUNJHONWALA,Other / Unspecified,"SONALI T.E.,P.O. BGRACOTE",8972564243,pradhanshiv@gmail.com,217.6 Ha,2434
34,SOONGACHI,Organized Estate,Dooars,Jalpaiguri,G.D. AGARWAL,S.K. SARIA,Siliguri,"Siliguri, West Bengal",9434050033,soongachi@gmail.com,639.4 Ha,A-6
35,TOONBARRIE TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,TOONBARI TEA ESTATE PVT.,TOONBARI TEA ESTATE PVT.,Kolkata,"R72H+VCR MarionBari Tea Estate, Marionbari Tea Garden, West Bengal 734009",09464583479,malnady.te@gmail.co,154.3 Ha,2120
36,WASHABARIETEA ESTATE,Organized Estate,Dooars,Jalpaiguri,"A.PALCHOUDHURI,NAYANTARA","A.PALCHOUDHURI,NAYANTARA",Kolkata,"Kolkata, West Bengal",9734155750,subhasish.dey24@gmail.com,438.2 Ha,2404
37,ZURRANTEE TEA,Organized Estate,Dooars,Jalpaiguri,SHASHANK PRASAD,MR.SHASHANK PRASAD,Kolkata,"Kolkata, West Bengal",03562-200004,tea@ddptl.com,510.2 Ha,2621
38,AMARPUR TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,AMARPUR TEA PLANTATIONS LTD ALOK CHAMARIA,"TTART ROW, KOL-1",Kolkata,"Halmira Estate Tea Private Limited, 23, Pankaj Mullick Sarani, near st.lawrence school, Garcha, Ballygunge, Kolkata, West Bengal 700019",033 3502 5701,amarpur89@gmail.com,70.3 Ha,2810/2811
39,DAM DIM,Organized Estate,Dooars,Jalpaiguri,AMALGAMATED PLANTATIONS,MR.A.BORDOLOI,Kolkata,"G8RX+3C2 Amalgamated Plantations Pvt. Ltd., 1, Bishop Lefroy Rd, Near Rabindra Sadan METRO Gate, Sreepally, Bhowanipore, Kolkata, West Bengal 700020",033 6605 3750,-,738.0 Ha,A2
40,DANGUAJHAR TEA GARDEN,Organized Estate,Dooars,Jalpaiguri,GOODRICKE GROUP LIMITED,A. N. SINGH,Kolkata,"Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",033 2287 3067,deng@gooricke.com,660.6 Ha,B-31
41,JOYPUR,Organized Estate,Dooars,Jalpaiguri,SUNNY VALLEY TEA &,RAJENDRA KR. MAHESWARI,Jalpaiguri,"GMXG+MV3 KARLAVALLEY TEA FACTORY Bada line photo ka location bhejiye, Patkata Colony, Jalpaiguri, West Bengal 735133",03561-204489,-,343.7 Ha,16
42,KARALA VALLEY TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,DARJEELING DOOARS,SHASHANK PRASAD,Kolkata,"4th Floor, Darjeeling Dooars Plantations Tea Limited, Nicco House, 2, Hare St, Above Canara Bank, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2248 7908,tea@ddptl.com,224.3 Ha,145
43,KONPAKRI AGRO INDUSTRIES (P),Organized Estate,Dooars,Jalpaiguri,KONPAKRI AGRO INDUS. (P) LTD PUROJIT BAKSHI GUPTA,", P.O-MOHITNAGAR,",Jalpaiguri,"GMJ8+3RQ Bhatrisakti Agro Pvt. Ltd., Patkata Colony, Mohitnagar, Golghumti, Jalpaiguri, West Bengal 735102",03561-255397,puro24@gmail.com,35.6 Ha,3744
44,NANDAN TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,CHUNIAJHORA TEA CO LTD,ANAND KUMAR AGARWAL,Siliguri,"Chuniajhora Tea Co Ltd, 62, Hill Cart Rd, Ward 10, Hakim Para, Siliguri, West Bengal 734001",9932627668,-,25.1 Ha,3818
45,NEPATI VALLEY TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,NEPATI VALLEY TEA ESTATE (P) LTD,BADAL CHANDRA DAS,Siliguri,"Happy Valley Tea Estate, Lebong Cart Rd, near Darjeeling, Chauk Bazaar, Darjeeling, West Bengal 734101",0353-2530946,das.samir133@gmail.com,26.9 Ha,3785
46,PARBATI T.E AND GOURANGA,Organized Estate,Dooars,Jalpaiguri,GOURANGA PARBATI TEA CO PVT DILIP DAS AND PRADIP DAS,"HAKIMPARA,",Siliguri,"STALL NO. T - 435, PRADIP TEA COMPANY, TULAPATTY ROAD, Bidhan Market Rd, near SECTOR BUILDING, Ward 11, Hakim Para, Siliguri, West Bengal 734001",9832092716,-,27.7 Ha,3826
47,RAIPUR TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,SUBRATA SAHA,SUBRATA SAHA,Jalpaiguri,"VRF3+C69 Subrata Saha, NH 717, Mangalbari, West Bengal 735206",9434064999,amritapurteaslg@gmail.com,239.8 Ha,129
48,SARASWATIPUR T.E,Organized Estate,Dooars,Jalpaiguri,SARASWATIPUR TEA &,SARASWATIPUR TEA &,Kolkata,"QH42+28 Saraswatipur Tea Resort, Unnamed Road, Saraswatipur Tea Estate, Junglee Mohal, West Bengal 734008",081005 77114,-,326.4 Ha,31
49,AMBARI TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,DIANA TEA CO. LTD.,SHRI MANOJ AGARWAL,Kolkata,"4th Floor, Diana Tea Company Limited, SIR RNM House, 3/B, Lal Bazar St, Lal Bazar, Kolkata, West Bengal 700001",033 2248 8672,-,587.1 Ha,P-1
50,BANARHAT,Organized Estate,Dooars,Jalpaiguri,ANDREW YULE & COMPANY LIMITED,S MUNSHI,Kolkata,"ANDREW YULE & CO.LTD., Yule House, 8, Dr Rajendra Prasad Sarani, China Bazar, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2242 7722,yule.banarhat@gmail.com,634.2 Ha,2767
51,BHOGATPORE TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,BHOGOTPUR TEA CO.LTD,ANIL KUMAR NAHATA,Kolkata,"Bhagatpur Tea Co Ltd, 11, RN Mukherjee Rd, B.B.D. Bagh, Kolkata, West Bengal 700001",091633 02244,rudrajalpaiguri@rediffmail.co,643.1 Ha,2662
52,BINAGURI TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,BINAGURI TEA CO. PVT.LTD.,SHRI R.K.SINGH,Kolkata,"Binaguri Tea Co Pvt Ltd, 238 A, AJC Bose Rd, Sreepally, Ballygunge, Kolkata, West Bengal 700020",03563-259311,binaguri@gmail.com,602.6 Ha,2598
53,CARRON TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,BASU TEA PRIVATE LTD,MR. P.K BASU,Kolkata,"BASU TEA STALL, Sapuipara, Ghosh Para, Howrah, West Bengal 711227",9831195470,-,303.9 Ha,2520
54,CHAMURCHI TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,RAJENDRA PRASAD TIWARI,RAJENDRA PRASAD TIWARI,Kolkata,"Cardiology opd R G Kar MCH, 01, Khudiram Bose Sarani, Bidhan Sarani, Belgachia, Kolkata, West Bengal 700004",033 2555 7675,chamurchi.2010@gmail.com,493.2 Ha,19
55,CHENGMARI,Organized Estate,Dooars,Jalpaiguri,CHENGMARI TEA CO. LTD.,RAMESH KR. MORE,Kolkata,"Chengmari Tea Company Limited, 37, Kala Mandir,, Shakespeare Sarani, Mullick Bazar, Park Street area, Kolkata, West Bengal 700017",033 2287 9834,dsparmar13@gmail.com,"1,290.9 Ha",2613
56,CHOONABHUTTI TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,ANDREW YULE & COMPANY LIMITED,SUNIL MUNSHI,Kolkata,"ANDREW YULE & CO.LTD., Yule House, 8, Dr Rajendra Prasad Sarani, China Bazar, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2242 7722,yule.choonabhutti@gmail.com,401.8 Ha,M-7
57,DEBPARA TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,DEBPARA TEA CO. LTD.,MR. S.MITTAL,Jalpaiguri,"Debpara Tea Co. Ltd., 10, Sevoke Rd, Ward 10, Hakim Para, Siliguri, West Bengal 734001",9434010469,debparatea@gmail.com,546.2 Ha,12
58,DHARANIPUR,Organized Estate,Dooars,Jalpaiguri,ROSHANLAL AGARWAL,N K BASU,Siliguri,"Roshan Lal & Company, Nehru Rd, Ward 8, Khalpara, Siliguri, West Bengal 734001",9547701884,redbank@yahoo.com,264.5 Ha,2515
59,DIANA TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,DIANA TEA CO. LTD.,MR. MONO AGRWALLA,Kolkata,"4th Floor, Diana Tea Company Limited, SIR RNM House, 3/B, Lal Bazar St, Lal Bazar, Kolkata, West Bengal 700001",033 2248 8672,gmdiana@rediffmail.com,418.3 Ha,J-26
60,GHATIA TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,H.V. KEJRIWAL,H.V. KEJRIWAL,Kolkata,"14th Floor, Kejriwal Castings Limited, Tower - 2, DN 62, Salt Lake Bypass, DN Block, Sector V, Bidhannagar, Kolkata, West Bengal 700091",033 4801 6753,ghatia.tea@gmail.com,599.6 Ha,2624
61,HILLA,Organized Estate,Dooars,Jalpaiguri,WEST BENGAL TEA,MISS. MAUSAMI GUHA ROY,Kolkata,"4th floor, Bengal Tea & Fabrics Limited, Century Tower, 45, Shakespeare Sarani, opposite Kala Mandir, Mullick Bazar, Park Street area, Kolkata, West Bengal 700017",033 2283 6416,webtea@vsnl.net,310.0 Ha,2423
62,HOPE TEA GARDEN,Organized Estate,Dooars,Jalpaiguri,V.MANDAL,MR. ARUN NARAYAN SINGH,Kolkata,"93/1, Mandal villa, Dr Meghnad Saha Rd, Lakshminagar, Dum Dum, Kolkata, West Bengal 700074",03563200051,hope@goodricke.com,432.1 Ha,B/10
63,JALDACCA ALTADANGA TEA ESTATE 15,Organized Estate,Dooars,Jalpaiguri,AJIT KUMAR AGARWAL,V.D.DUA,Siliguri,"Dr. Ajit Kumar Singh - Best Nephrologist in Siliguri | Kidney Doctor in Siliguri | Best Kidney Transplant Doctor in Siliguri, Inside Uttarayan Township City centre Matigara, Siliguri, West Bengal 734010",03563-246045,teraitea@gmail.com,197.4 Ha,
64,JITI,Organized Estate,Dooars,Jalpaiguri,GOODRICKE GROUP LIMITED,MR A.N. SINGH,Kolkata,"Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",033 2287 3067,jiti@goodricke.com,546.9 Ha,B-11
65,KARBALA TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,ANDREW YULE & COMPANY LIMITED,SHRI SUNIL MUNSHI,Kolkata,"ANDREW YULE & CO.LTD., Yule House, 8, Dr Rajendra Prasad Sarani, China Bazar, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2242 7722,yule.karballa@gmail.com,755.2 Ha,M(19)2768
66,KATALGURI TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,ARION AGENCIES PVT. LTD.,NARENDRA BERLIA,Siliguri,"3rd Mile, Anil agencies, near Urban Palms Apartment, Ward 42, Salugara, Siliguri, West Bengal 734008",03563200068,sevokemotors@vsnl.net,495.2 Ha,10
67,KATHALDHURA TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,KANCHAN TREE PLANTATIONS,MR. DEEPAK BERLIA,Siliguri,"Siliguri, West Bengal",9434496215,deepakberlia@yahoo.com,74.9 Ha,3973
68,KURTI TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,QUALITY TEA PRODUCING CO. PVT. LTD.,B.K.DALMIA,Kolkata,"Quality Tea Plantations P Ltd, 24, Hemanta Basu Sarani, Lal Dighi, B.B.D. Bagh, Kolkata, West Bengal 700062",033 2230 8994,kurtitea@gmail.com,417.9 Ha,2616
69,LAKHIPARA TEA GARDEN,Organized Estate,Dooars,Jalpaiguri,GOODRICKE GROUP LIMITED,MR.A.N.SINGH,Kolkata,"Goodricke Group Limited, 14, Gurusaday Dutta Rd, Beck Bagan, Ballygunge, Kolkata, West Bengal 700019",033 2287 3067,lak@goodricke.com,627.5 Ha,B-14
70,LANKAPARA TEA GARDEN,Organized Estate,Dooars,Jalpaiguri,DUNCANS INDUSTRIES LIMITED,G.P.GOENKA,Kolkata,"4th Floor, Duncans Tea Limited, Duncan House, 31, Netaji Subhas Rd, Murgighata, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2242 1605,lantg@ducanstea.com,758.5 Ha,2632
71,LOOKSUN TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,GIRIRAJ PLANTATIONS PVT. LTD,DEPAK BERLIA,Siliguri,"Siliguri, West Bengal",03532779337,deepakberlia@yahoo.com,424.7 Ha,2441
72,MOGULKATA TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,BIJOYNAGAR TEA CO. LTD,MR. R.S.CHATTERJEE,Kolkata,"4th Floor, Diana Tea Company Limited, SIR RNM House, 3/B, Lal Bazar St, Lal Bazar, Kolkata, West Bengal 700001",033 2248 8672,sengupta@gmail.com,408.4 Ha,2524
73,MORAGHAT TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,BINAGURI TEA CO. PVT.LTD.,BINAGURI TEA CO. PVT.LTD.,Kolkata,"Binaguri Tea Co Pvt Ltd, 238 A, AJC Bose Rd, Sreepally, Ballygunge, Kolkata, West Bengal 700020",03563-203008,-,513.5 Ha,2546
74,NAGRAKATA TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,QUALITY TEA PRODUCING CO. PVT. LTD.,MR.SANJAY DALMIA,Kolkata,"Quality Tea Plantations P Ltd, 24, Hemanta Basu Sarani, Lal Dighi, B.B.D. Bagh, Kolkata, West Bengal 700062",033 2230 8994,qualitytea@hotmail.com,549.8 Ha,2615
75,NEW DOOARS,Organized Estate,Dooars,Jalpaiguri,ANDREW YULE & COMPANY LIMITED,SUNIL MUNSHI,Kolkata,"ANDREW YULE & CO.LTD., Yule House, 8, Dr Rajendra Prasad Sarani, China Bazar, B.B.D. Bagh, Kolkata, West Bengal 700001",033 2242 7722,yulenewdooars@gmail.com,792.4 Ha,M-26
76,NYA SYLEE,Organized Estate,Dooars,Jalpaiguri,OCTIVIOUS TEA & INDIA LTD.,MR. SUSHIL KR. JAIN,Kolkata,"Octavius Tea & Industries Ltd., 2, Transport Depot Rd, Alipore Mint Colony, Alipore, Kolkata, West Bengal 700088",9775842525,susil@octiviouste.com,460.8 Ha,RC-31
77,RED BANK,Organized Estate,Dooars,Jalpaiguri,ROSHANLAL AGARWAL,N K BASU,Siliguri,"Roshan Lal & Company, Nehru Rd, Ward 8, Khalpara, Siliguri, West Bengal 734001",9002735011,redbank@yahoo.com,361.6 Ha,1956
78,RHEABARI TEA ESTATE,Organized Estate,Dooars,Jalpaiguri,ASHOK KUMAR BANSAL,ARVIND KUMAR,Kolkata,"Ashok Kumar Bansal & Associates, K-10-A, KRISHNA PURI, Jhalana, Brij Mohan Marg, Sector 12, Malviya Nagar, Jaipur, Rajasthan 302017",098280 20548,info@newteaCo.com,374.6 Ha,14
79,SURENDRA NAGAR,Organized Estate,Dooars,Jalpaiguri,ROSHANLAL AGARWAL,NK BASU,Siliguri,"Roshan Lal & Company, Nehru Rd, Ward 8, Khalpara, Siliguri, West Bengal 734001",9002735011,redbank@yahoo.com,172.2 Ha,2415
80,AMBIOK TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,ANAND GOPAL TEA CO.,MR. SANJAY MITTAL,Siliguri,"Block, 1st Floor, Gopaldhara Tea Co. Pvt. Ltd., Arjun Enclave, Green Park Colony, C & E, Tea Auction Rd, Ward 46, Champasari, Mallaguri, Siliguri, West Bengal 734003",03532430018,hilton@sancharnet.in,152.1 Ha,236
81,FAGU,Organized Estate,Darjeeling Hills,Darjeeling,GBC ENTERPRISE LTD.,KRISHNENDU DAS,Other / Unspecified,"VIKRAM APPARTMENT ,B, 1,MEGHNATH SAHA, SARANI,PRODHAN NAGAR.",9474101791,fagu.gbc@gmail.com,190.2 Ha,2628
82,MISSION HILL,Organized Estate,Darjeeling Hills,Darjeeling,ASHA TEA COMPANY PVT LTD,MR SUBHADEEP ROY,Jalpaiguri,"Asha Tea Company, Rishi Rd, Mal Bazar, Tunbari Tea Garden P, West Bengal 735221",095936 62523,missionhill.tea@gmail.com,244.2 Ha,262
83,MOHAN MAJHUA TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,MAHANADI TEA COMPANY PVT.,SHANTANU KEJRIWAL,Kolkata,"1, Ground Floor, Victoria Tea Company, Martin Burn House, Head Quarter, RN Mukherjee Rd, opposite Lal Bazar, Lal Bazar, Kolkata, West Bengal 700001",033 2210 7383,rungamattee.jung@gmail.com,52.2 Ha,2047
84,NARBADA MAJHUA TEA ESTATE,Organized Estate,Darjeeling Hills,Darjeeling,4,0,Kolkata,-,09733045451,rungamattee.jung@gmail.com,38.8 Ha,210
