Target Company,Target HQ City,Associated Gardens,Match Status,Found Place Name,Formatted Address,City,PIN Code,Phone,Website,Latitude,Longitude,Rating,Reviews,Category,Place ID,Google Maps URL,Scraped At
"AJIT KUMAR AGARWAL","Siliguri","JALDACCA ALTADANGA TEA ESTATE 15; LOHAGARH TEA ESTATE","partial","Dr. Ajit Kumar Singh - Best Nephrologist in Siliguri | Kidney Doctor in Siliguri | Best Kidney Transplant Doctor in Siliguri","Dr. Ajit Kumar Singh - Best Nephrologist in Siliguri | Kidney Doctor in Siliguri | Best Kidney Transplant Doctor in Siliguri, Inside Uttarayan Township City centre Matigara, Siliguri, West Bengal 734010","Siliguri","734010",,"http://drajitkumarsingh.co.in/",26.734320099999998,88.39135689999999,4.3,,"Nephrologist","ChIJB6mQXWVH5DkRUaKL-GL3pdY","https://www.google.com/maps/place/?q=place_id:ChIJB6mQXWVH5DkRUaKL-GL3pdY","2026-09-14T11:28:28.690Z"
"ARION AGENCIES PVT. LTD.","Siliguri","KATALGURI TEA ESTATE","partial","Anil agencies","3rd Mile, Anil agencies, near Urban Palms Apartment, Ward 42, Salugara, Siliguri, West Bengal 734008","Siliguri","734008",,,26.7579837,88.4421692,4,,"Tile store","ChIJLZwxxVhA5DkRF0Kr0FSlE_k","https://www.google.com/maps/place/?q=place_id:ChIJLZwxxVhA5DkRF0Kr0FSlE_k","2026-09-14T11:28:31.462Z"
"KANCHAN TREE PLANTATIONS","Siliguri","KATHALDHURA TEA ESTATE","partial","Siliguri","Siliguri, West Bengal","Siliguri","",,,26.7271012,88.39528609999999,,,,"ChIJzR1E9RRB5DkR_-1jIHDEtd4","https://maps.google.com/maps/preview/place/Siliguri,+West+Bengal/@26.7271012,88.3952861,3564a,13.1y/data=!4m2!3m1!1s0x39e44114f5441dcd:0xdeb5c4702063edff","2026-09-14T11:28:34.042Z"
"GIRIRAJ PLANTATIONS PVT. LTD","Siliguri","LOOKSUN TEA ESTATE","partial","Siliguri","Siliguri, West Bengal","Siliguri","",,,26.7271012,88.39528609999999,,,,"ChIJzR1E9RRB5DkR_-1jIHDEtd4","https://maps.google.com/maps/preview/place/Siliguri,+West+Bengal/@26.7271012,88.3952861,3564a,13.1y/data=!4m2!3m1!1s0x39e44114f5441dcd:0xdeb5c4702063edff","2026-09-14T11:28:36.574Z"
"ANAND GOPAL TEA CO.","Siliguri","AMBIOK TEA ESTATE","matched","Gopaldhara Tea Co. Pvt. Ltd.","Block, 1st Floor, Gopaldhara Tea Co. Pvt. Ltd., Arjun Enclave, Green Park Colony, C & E, Tea Auction Rd, Ward 46, Champasari, Mallaguri, Siliguri, West Bengal 734003","Siliguri","734003",,"http://www.gopaldharaindia.com/",26.735297799999998,88.41032969999999,4.4,24,"Tea Manufacturer","ChIJ6cMNtChB5DkRs_oCtzEvhaw","https://www.google.com/maps/place/?q=place_id:ChIJ6cMNtChB5DkRs_oCtzEvhaw","2026-09-14T11:28:40.098Z"
"SONA TEA LIMITED","Siliguri","ROHINI TEA ESTATE","matched","Surajmukhi Tea Private Limited","Surajmukhi Tea Private Limited, Madhuban Complex, Zilla Parishad Rd, Ward 41, Don Bosco Colony, Siliguri, West Bengal 734001","Siliguri","734001",,"https://www.surajmukhiteas.com/",26.743212399999997,88.44757609999999,4.9,,"Tea Manufacturer","ChIJq6qqqhZB5DkRberHCZhcsBI","https://www.google.com/maps/place/?q=place_id:ChIJq6qqqhZB5DkRberHCZhcsBI","2026-09-14T11:28:43.666Z"
"AZAMABAD TEA CO. (P) LTD","Siliguri","AZAMABAD","matched","Azamabad Tea Co. (P) Ltd.","Azamabad Tea Co. (P) Ltd., No. 2, Sevoke Rd, Ward 11, Bankim Nagar, Siliguri, West Bengal 734001","Siliguri","734001",,,26.7177391,88.42466019999999,,,,"ChIJT4v9tRRB5DkRMAlKvAw6Llc","https://maps.google.com/maps/preview/place/Azamabad+Tea+Co.+(P)+Ltd.,+No.+2,+Sevoke+Rd,+Ward+11,+Bankim+Nagar,+Siliguri,+West+Bengal+734001/@26.7177391,88.4246602,3564a,13.1y/data=!4m2!3m1!1s0x39e44114b5fd8b4f:0x572e3a0cbc4a0930","2026-09-14T11:28:46.911Z"
"462.83","Siliguri","BELGACHI TEA ESTATE","partial","REGIONAL RESPONSE CENTRE,(2BN NDRF)SILIGURI","P9HP+HP2 REGIONAL RESPONSE CENTRE,(2BN NDRF)SILIGURI, Paribahan Nagar, Ghokla Jote, Matigara, Siliguri, West Bengal 734010","Siliguri","734010",,,26.728888899999998,88.38677729999999,4.5,8,"Central Government Office","ChIJfaFoL8ZH5DkRhuFDh7Ox0ks","https://www.google.com/maps/place/?q=place_id:ChIJfaFoL8ZH5DkRhuFDh7Ox0ks","2026-09-14T11:28:50.561Z"
"BHOJNARAIN TEA CO. LTD","Siliguri","BHOJNARAIN TEA ESTATE","matched","Bhojnarayan Tea Garden","Bhojnarayan Tea Garden, Nembutari, Hetmuri, West Bengal 734426","Siliguri","734426",,,26.6160499,88.3279464,3.8,,"Tea Manufacturer","ChIJD7p-dPZP5DkRA1eOA-YiOCk","https://www.google.com/maps/place/?q=place_id:ChIJD7p-dPZP5DkRA1eOA-YiOCk","2026-09-14T11:28:54.386Z"
"NEW DARJEELING UNION TEA","Siliguri","KIRAN CHANDRA","matched","Darjeeling Tea House","Darjeeling Tea House, Uttarapan market complex, Hill Cart Rd, Ward 1, Patiram Jote, Siliguri, West Bengal 734003","Siliguri","734003",,"https://www.facebook.com/DarjeelingTeaHouseSlgOfficial",26.728000899999998,88.4134248,4.2,,"Tea store","ChIJayz8IjtB5DkR6uyjzVwhGaY","https://www.google.com/maps/place/?q=place_id:ChIJayz8IjtB5DkR6uyjzVwhGaY","2026-09-14T11:28:57.017Z"
"AJIT PRASAD","Siliguri","MARAPUR TEA ESTATE","matched","Ajit Prasad","Bagrakote Oppo, Ajit Prasad, FCI Godown, Hakimpara, Subhas Pally, Siliguri, West Bengal 734001","Siliguri","734001",,,26.7044438,88.43498149999999,,,"Grocery store","ChIJT5FkZENB5DkRZFngeLCiKMQ","https://maps.google.com/maps/preview/place/Bagrakote+Oppo,+Ajit+Prasad,+FCI+Godown,+Hakimpara,+Subhas+Pally,+Siliguri,+West+Bengal+734001/@26.7044438,88.4349815,3564a,13.1y/data=!4m2!3m1!1s0x39e441436464914f:0xc428a2b078e05964","2026-09-14T11:29:00.078Z"
"SHRI AJIT KUMAR AGARWALA","Siliguri","SACHINDRA CHANDRA TEA ESTATE","partial","Dr. Ajit Kumar Singh - Best Nephrologist in Siliguri | Kidney Doctor in Siliguri | Best Kidney Transplant Doctor in Siliguri","Dr. Ajit Kumar Singh - Best Nephrologist in Siliguri | Kidney Doctor in Siliguri | Best Kidney Transplant Doctor in Siliguri, Inside Uttarayan Township City centre Matigara, Siliguri, West Bengal 734010","Siliguri","734010",,"http://drajitkumarsingh.co.in/",26.734320099999998,88.39135689999999,4.3,,"Nephrologist","ChIJB6mQXWVH5DkRUaKL-GL3pdY","https://www.google.com/maps/place/?q=place_id:ChIJB6mQXWVH5DkRUaKL-GL3pdY","2026-09-14T11:29:03.607Z"
"ATIABARI TEA COMPANY LTD","Siliguri","ATIABARI TEA ESTATE","matched","Awwal Tea","Awwal Tea, Sevoke Rd, near sachitra hotel, Jyoti Nagar, Bankim Nagar, Siliguri, West Bengal 734001","Siliguri","734001",,"https://awwaltea.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=6826128395188206104",26.7351718,88.4351987,4.7,,"Tea Manufacturer","ChIJPzzqDgRB5DkRKUIccNO3kP0","https://www.google.com/maps/place/?q=place_id:ChIJPzzqDgRB5DkRKUIccNO3kP0","2026-09-14T11:29:06.891Z"
"BUXA DOOARS TEA CO (I) LTD","Siliguri","KALCHINI T E","matched","Deesha Trade Endeavours P. Ltd.","Deesha Trade Endeavours P. Ltd., 195, Sukanta Sarani, opp. Bsnl Residential Complex, New Milanpally, Saktigarh, Siliguri, West Bengal 734005","Siliguri","734005",,"http://deeshaindiatea.in/",26.7007551,88.41436569999999,4.5,,"Tea Manufacturer","ChIJxUoagNtB5DkR2I-asm2VMdw","https://www.google.com/maps/place/?q=place_id:ChIJxUoagNtB5DkR2I-asm2VMdw","2026-09-14T11:29:09.413Z"
"ATINPUR TEA ESTATE","Siliguri","ATINPUR TEA ESTATE","matched","Kamalpur Tea Estate","Kamalpur Tea Estate, Bagdogra - Panighata Main Rd, Kamal Pur, Uttar Bagdogra, Bagdogra, West Bengal 734014","Siliguri","734014",,"https://www.kamalpurteaestate.com/",26.7073474,88.3083501,4.4,,"Tea Manufacturer","ChIJPwx3Y7lI5DkR83BCsvB4NDw","https://www.google.com/maps/place/?q=place_id:ChIJPwx3Y7lI5DkR83BCsvB4NDw","2026-09-14T11:29:12.489Z"
"MINTRI TEA CO. PVT.LTD.","Siliguri","GAYA GANGA TEA ESTATE","matched","Mintri Tea Warehouse","Mintri Tea Warehouse, 2nd, Sevoke Rd, Ward 10, Janta Nagar, Siliguri, West Bengal 734001","Siliguri","734001",,,26.7264168,88.42930799999999,3,,"Warehouse","ChIJ34IaSxBB5DkRsSz6X8jCIPc","https://maps.google.com/maps/preview/place/Mintri+Tea+Warehouse,+2nd,+Sevoke+Rd,+Ward+10,+Janta+Nagar,+Siliguri,+West+Bengal+734001/@26.7264168,88.429308,3564a,13.1y/data=!4m2!3m1!1s0x39e441104b1a82df:0xf720c2c85ffa2cb1","2026-09-14T11:29:15.942Z"
"A.C PAUL AGRICULTURAL CO. PVT. LTD","Siliguri","GIRISH CHANDRA TEA ESTATE; RAMABOTY TEA ESTATE","partial","A. C. Paul & Sons","A. C. Paul & Sons, Mangturam Rd, Ward 8, Khalpara, Siliguri, West Bengal 734005","Siliguri","734005",,,26.706746799999998,88.4237406,5,,"Rice shop","ChIJOcUFkmhB5DkREOlMZmgIuj0","https://maps.google.com/maps/preview/place/A.+C.+Paul+%26+Sons,+Mangturam+Rd,+Ward+8,+Khalpara,+Siliguri,+West+Bengal+734005/@26.7067468,88.4237406,3564a,13.1y/data=!4m2!3m1!1s0x39e441689205c539:0x3dba0868664ce910","2026-09-14T11:29:19.100Z"
"KAMALA TEA CO. LTD","Siliguri","KAMALA TEA ESTATE","matched","Kamala Tea","Kamala Tea, M5 Building, Hill cart Road, Near, Siliguri Jct Rd, Siliguri, West Bengal 734003","Siliguri","734003",,,26.723948099999998,88.41675769999999,5,,"Tea Wholesaler","ChIJwwAqysBB5DkRky0gFFEzvZc","https://www.google.com/maps/place/?q=place_id:ChIJwwAqysBB5DkRky0gFFEzvZc","2026-09-14T11:29:21.680Z"
"SRI AJIT KUMAR AGARWALA","Siliguri","SAYEDABAD TEA ESTATE","partial","Dr. Amit Kumar Agarwal","Dr. Amit Kumar Agarwal, Sanjeevani Apartment, Station Feeder Rd, New Milanpally, Saktigarh, Siliguri, West Bengal 734005","Siliguri","734005",,"https://dragarwalsclinic.co.in/",26.701832399999997,88.4161116,4.1,224,"Dermatologist","ChIJb5seh1tB5DkRW1l3pGzTD0Y","https://www.google.com/maps/place/?q=place_id:ChIJb5seh1tB5DkRW1l3pGzTD0Y","2026-09-14T11:29:24.302Z"
"GOPALDHARA TEA CO. PVT. LTD.","Siliguri","GOPALDHARA","matched","Gopaldhara Tea Co. Pvt. Ltd.","Block, 1st Floor, Gopaldhara Tea Co. Pvt. Ltd., Arjun Enclave, Green Park Colony, C & E, Tea Auction Rd, Ward 46, Champasari, Mallaguri, Siliguri, West Bengal 734003","Siliguri","734003",,"http://www.gopaldharaindia.com/",26.735297799999998,88.41032969999999,4.4,,"Tea Manufacturer","ChIJ6cMNtChB5DkRs_oCtzEvhaw","https://maps.google.com/maps/preview/place/Block,+1st+Floor,+Gopaldhara+Tea+Co.+Pvt.+Ltd.,+Arjun+Enclave,+Green+Park+Colony,+C+%26+E,+Tea+Auction+Rd,+Ward+46,+Champasari,+Mallaguri,+Siliguri,+West+Bengal+734003/@26.7352978,88.4103297,3563a,13.1y/data=!4m2!3m1!1s0x39e44128b40dc3e9:0xac852f31b702fab3","2026-09-14T11:29:27.596Z"
"MR AJIT KUMAR AGARWALA","Siliguri","BAGDOGRA TEA ESTATE","partial","Dr. Ajit Kumar Singh - Best Nephrologist in Siliguri | Kidney Doctor in Siliguri | Best Kidney Transplant Doctor in Siliguri","Dr. Ajit Kumar Singh - Best Nephrologist in Siliguri | Kidney Doctor in Siliguri | Best Kidney Transplant Doctor in Siliguri, Inside Uttarayan Township City centre Matigara, Siliguri, West Bengal 734010","Siliguri","734010",,"http://drajitkumarsingh.co.in/",26.734320099999998,88.39135689999999,4.3,,"Nephrologist","ChIJB6mQXWVH5DkRUaKL-GL3pdY","https://www.google.com/maps/place/?q=place_id:ChIJB6mQXWVH5DkRUaKL-GL3pdY","2026-09-14T11:29:30.398Z"
"RAJENDRA AGARWAL &","Siliguri","KAMALPUR","partial","J.R. AGARWAL AND ASSOCIATES","Ground floor, J.R. AGARWAL AND ASSOCIATES, Anjani Apartment, Agrasen Rd, opposite Maheswari Bhawan, Ward 9, Khalpara, Siliguri, West Bengal 734005","Siliguri","734005",,,26.7057158,88.4176437,4.7,,"Real estate attorney","ChIJj-foqFpB5DkRcIaX9WIPd08","https://www.google.com/maps/place/?q=place_id:ChIJj-foqFpB5DkRcIaX9WIPd08","2026-09-14T11:29:34.132Z"
"MR RAJESH GARG","Siliguri","MATIGARA T E","partial","Dr Rajesh Agarwal - Pulmonologist/Chest specialist","Dr Rajesh Agarwal - Pulmonologist/Chest specialist, Shanti nursing home Uday shankar sarani, Sevoke Rd, beside International Market, Siliguri, West Bengal 734001","Siliguri","734001",,"http://www.shantinursinghomesiliguri.com/",26.721441499999997,88.4262226,5,162,"Pulmonologist","ChIJlb6n2Z5B5DkRCc-fbDJoF1Q","https://www.google.com/maps/place/?q=place_id:ChIJlb6n2Z5B5DkRCc-fbDJoF1Q","2026-09-14T11:29:36.565Z"
"BUDS TEA INDUSTRIES","Siliguri","BUDS TEA ESTATE","matched","Buds Tea Factory","Buds Tea Factory, Bagjan, West Bengal 735302","Siliguri","735302",,,26.5913185,88.7985923,4.2,46,"Tea Manufacturer","ChIJu6CWX-WH4zkRo-WV8gcrNqM","https://www.google.com/maps/place/?q=place_id:ChIJu6CWX-WH4zkRo-WV8gcrNqM","2026-09-14T11:29:39.826Z"
"SHIKARPUR & BHANDAPUR TEA","Siliguri","BHANDAPUR TEA ESTATE; SHIKARPUR TEA ESTATE","matched","Shikarpur Tea Estate Factory","JHGF+3Q5 Shikarpur Tea Estate Factory, Shikarpur, West Bengal 735133","Siliguri","735133",,,26.6251276,88.5744706,3.9,15,"Tea Manufacturer","ChIJ_X1cjD9v5DkRY4UXc0JU8Q0","https://www.google.com/maps/place/?q=place_id:ChIJ_X1cjD9v5DkRY4UXc0JU8Q0","2026-09-14T11:29:42.813Z"
"SANJIT PAUL","Siliguri","BHASANI TEA ESTATE","partial","Dr.Paul's Multispeciality Clinic Pvt. Ltd.","Shop No - 0108, First Floor, Dr.Paul's Multispeciality Clinic Pvt. Ltd., City Centre Mall, Block - A, Matigara, Siliguri, West Bengal 734010","Siliguri","734010",,"https://www.drpaulsonline.com/",26.7240461,88.3946076,4.8,,"Medical clinic","ChIJ-T_tthBH5DkRPNOsWtCuslM","https://www.google.com/maps/place/?q=place_id:ChIJ-T_tthBH5DkRPNOsWtCuslM","2026-09-14T11:29:46.495Z"
"BINDO BEHARI TEA INDUSTRIES PVT LTD","Siliguri","GADRA TEA ESTATE","matched","Dewill Industries Pvt Ltd","Dewill Industries Pvt Ltd, Ashirbad Apartment, Road, 02, Rd Number 2, Siliguri, West Bengal 734005","Siliguri","734005",,"https://darjeelingteagarden.com/",26.6985858,88.4145669,4.6,45,"Tea Wholesaler","ChIJOTguVP9B5DkRX5QpKYiLLVg","https://www.google.com/maps/place/?q=place_id:ChIJOTguVP9B5DkRX5QpKYiLLVg","2026-09-14T11:29:50.344Z"
"RUCHI AGRO PRODUCTS PVT LTD SANDIP AGARWAL","Siliguri","HARINAGAR TEA ESTATE","partial","Ruchi Agro Products Private Limited","Ruchi Agro Products Private Limited, near Sarodamani High School, School Para, Fatapukur, Chhat Guzrimari, West Bengal 735134","Siliguri","735134",,,26.566144599999998,88.5513297,4.5,17,"Corporate office","ChIJt2D7wR5n5DkR_s7LZRDmq9Y","https://www.google.com/maps/place/?q=place_id:ChIJt2D7wR5n5DkR_s7LZRDmq9Y","2026-09-14T11:29:53.529Z"
"NARAYAN CHANDRA DUTTA","Siliguri","HIRALAL TEA GARDEN","partial","Dr. Arunava Datta","Dr. Arunava Datta, Pratik Medico, Hill Cart Rd, opposite Howrah Petrol Pump, Ward 10, Janta Nagar, Siliguri, West Bengal 734001","Siliguri","734001",,"http://www.drarunavadatta.com/",26.7179793,88.42120159999999,4.7,293,"Psychiatrist","ChIJ4Y9YsiVB5DkRhSwNzOZM7UQ","https://www.google.com/maps/place/?q=place_id:ChIJ4Y9YsiVB5DkRhSwNzOZM7UQ","2026-09-14T11:29:56.159Z"
"NPS COLD STORAGE PVT LTD","Siliguri","RUNGGOTI TEA GARDEN","matched","Nps Cold Storage Pvt. Ltd.","Nps Cold Storage Pvt. Ltd., Nps cold Storage pvt. Ltd, Fatapukur, Chhat Guzrimari, West Bengal 735134","Siliguri","735134",,,26.56384,88.55051519999999,5,5,"Storage facility","ChIJYUYnxy5n5DkRrogRZ_C4k4M","https://www.google.com/maps/place/?q=place_id:ChIJYUYnxy5n5DkRrogRZ_C4k4M","2026-09-14T11:29:58.642Z"
"GOLDEN LEAF TEA PLANTATIONS ASHOK KUMAR AGAEWAL","Siliguri","SHAAKTIMANN TEA ESTATE","matched","Golden Leaf","Golden Leaf, near Murgi Hati Bidhan Market, Ward 11, Hakim Para, Siliguri, West Bengal 734001","Siliguri","734001",,,26.717605,88.42579219999999,4.8,4,"Tea store","ChIJzV8O34JB5DkRRCGqx1RI3Mo","https://www.google.com/maps/place/?q=place_id:ChIJzV8O34JB5DkRRCGqx1RI3Mo","2026-09-14T11:30:01.751Z"
"DEBIJHORA TEA CO. LTD.","Siliguri","DEBIJHORA","matched","Debijhora Tea Estate Factory","Debijhora Tea Estate Factory, Butijhari, West Bengal 733207","Siliguri","733207",,,26.4704578,88.3966076,4.1,30,"Tea Manufacturer","ChIJFd9f9jFZ5DkR-AJg1PQMqw4","https://www.google.com/maps/place/?q=place_id:ChIJFd9f9jFZ5DkR-AJg1PQMqw4","2026-09-14T11:30:04.312Z"
"GOPE TEA PLANTATION PVT. LTD. MR. DIPAK GOPE","Siliguri","GOPE TEA ESTATE","matched","Gope Tea Plantation Factory","9CV7+7Q9 Gope Tea Plantation Factory, GOPE TEA ESTATE VILL. UTTAR HAZARBIGHA P.O. ASAARU BASTI P.S. CHOPRA, Daspara, Ghirnigaon Khas, West Bengal 733207","Siliguri","733207",,,26.393163299999998,88.41449949999999,4,20,"Tea Manufacturer","ChIJGyZAzO715DkRozvMaJTgIwo","https://www.google.com/maps/place/?q=place_id:ChIJGyZAzO715DkRozvMaJTgIwo","2026-09-14T11:30:07.500Z"
"PURBASHA PLANTATIONS & TEA","Siliguri","ICHHAMOTI","partial","Deepak Plastic Udyog","First Floor, Deepak Plastic Udyog, 262, Bidhan Rd, Ward 11, Hakim Para, Siliguri, West Bengal 734001","Siliguri","734001",,,26.7176869,88.4264405,4,3,"Manufacturer","ChIJ8fb-XhNB5DkRqGNnWbPcYSw","https://maps.google.com/maps/preview/place/First+Floor,+Deepak+Plastic+Udyog,+262,+Bidhan+Rd,+Ward+11,+Hakim+Para,+Siliguri,+West+Bengal+734001/@26.7176869,88.4264405,3564a,13.1y/data=!4m2!3m1!1s0x39e441135efef6f1:0x2c61dcb3596763a8","2026-09-14T11:30:10.245Z"
"NORTH BENGAL TEA PLANTATION JAGDISH PRASAD AGARWAL","Siliguri","KUSUM TEA ESTATE","matched","North Bengal Tea & Allied","WARD NO 5, North Bengal Tea & Allied, Hanuman Mandir Rd, Ganga Nagar, Mahananda Para, Siliguri, West Bengal 734005","Siliguri","734005",,"http://www.nehachai.com/",26.704027699999997,88.4128028,5,3,"Tea Wholesaler","ChIJz1wCGU5B5DkRvGRQahm2D3k","https://www.google.com/maps/place/?q=place_id:ChIJz1wCGU5B5DkRvGRQahm2D3k","2026-09-14T11:30:13.652Z"
"SEAL & CO (P) LTD.","Siliguri","MAYA TEA ESTATE","partial","Dolphin Labels","Dolphin Labels, 453, Bidhan Rd, beside P.G.Jewellers, near Auto Stand, Ward 11, Hakim Para, Siliguri, West Bengal 734001","Siliguri","734001",,"http://www.kraftpaperpouches.com/",26.717722199999997,88.42633479999999,4.6,147,"Packaging supply store","ChIJ6cmrziFB5DkRqTednlMuDJg","https://www.google.com/maps/place/?q=place_id:ChIJ6cmrziFB5DkRqTednlMuDJg","2026-09-14T11:30:16.867Z"
