Serial,Garden Name,Reg No,Region,District,Subdivision,Company Status,Grant Area (Ha),Tea Area (Ha),Association,Garden Address,Garden Phone,Garden Email,Owner / Company,Owner HQ Address,Owner Phone,Owner Fax,Owner Email,CEO / Principal,CEO Address,CEO Phone,CEO Email,HQ City
11,"ENGO TEA ESTATE","2417","Dooars","JALPAIGURI","MATELLI","Proprietorship",161.18,109.14,"ITA","P.O. MATELLI, DIST-JALPAIGURI, W.B.",,,"ENGO TRADING & TEA CO.(P)","LTD., 135/BRB, BASU ROAD KOL-1","033-22133069","033-135140","engotea2008@gmail.com","MR ASHOK KUMAR BHUWALKA","135/BRB, BASU ROAD KOL-1","09831029757","engotea2008@gmail.com","Kolkata"
12,"GOOD HOPE TEA ESTATE","2294","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",599.8,418.29,"ITA","GOOD HOPE T.E. P.O., DAMDIM,DIST:JALPAIGURI ,PIN:73520",,,"DIANA TEA CO. LTD.","M/S. DIANA TEA CO. LTD., ,3B,LALBAZAR STREET,KOLKATA-","","","","MR. MONOJ AGARWAL","M/S. DIANA TEA CO. LTD., ,3B,LALBAZAR STREET,KOLKATA-","","","Kolkata"
13,"GOPALPUR TEA ESTATE","152","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",829.6,510.27,"TRA","JALPAIGURI, WEST BENGAL",,,"THE GOPALPUR TEA COMPANY LIMITED","FLAT 12,30,CHOWRANGHEE, ROAD,KOLKATA 16","03322291725","03322269950","gopalpurtea@gmail.com","SHRI NATHMAL MAHESWARI","FLAT 12,30,CHOWRANGHEE, ROAD KOLKATA-16","9330715151","gopalpurtea@gmail.com","Kolkata"
14,"GURJANGJHORA TEA ESTATE","25","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",326.36,268.81,"TRA","P.O. MAL, DIST. JALPAIGURI",,,"GURJANGJHORA TEA &","INDUSTRIES LTD.,, 'CENTRE POINT, 28/2,, SHAKESPEARE SARANI, 4TH, FLOOR, FLAT NO.401, KOLKATA- E-, 700017, E-, Mail :kalyanigroupho@rediffmail.com","03561230172","03565227-491","kalyanigroupho@rediffmail.com","MR.S.SAHA","DINBAZAR, JALPAIGURI, Mail :kalyanigroupho@rediffmail.com","03561230172","kalyanigroupho@rediffmail.com","Kolkata"
15,"INDONG TEA ESTATE","2649","Dooars","JALPAIGURI","MATELLI","Proprietorship",740.38,483.84,"ITPA","INDONG, T.E.P.O.MATELLI,DIST:JALPAIGURI.-, 735223",,,"INDONG TEA CO. PVT. LTD.","4,INDIA EXCHANGE, PLACE,KOLKATA700 001","03322303281","03322312906","devvrat61@sifi.com","MR. DEVVRAT GUPTA","4,INDIA EXCHANGE, PLACE,KOLKATA700 001","03322303281","devvrat61@sifi.com","Kolkata"
16,"JOGESH CHANDRA TEA ESTATE","148","Dooars","JALPAIGURI","MATELLI","Proprietorship",577.11,463.47,"ITA","P.O : MALHATI, DIST : JALPAIGURI, WEST BENGAL",,,"MALHATI TEA AND INDS. LTD.","233,SEVOKE ROAD, 2ND MILE,SILIGURI, WEST BENGAL.","0353-2544704","0353-2545273","","MR.NARENDRA BARELIA","233,SEVOKE ROAD, 2ND MILE,SILIGURI, WEST BENGAL.","9434048605","","Siliguri"
17,"KAILASHPUR TEA ESTATE","1812","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",404.81,294.54,"ITA","P.O : OODLABARI, DIST:JALPAIGURI, WEST BENGAL",,,"THE FRIENDS TEA COMPANY LTD. MR. RANJIT BALOW","RAHUT BUILDING                  RAHUT B, BABUPARA,                       BABUPAR, JALPAIGURI                      JALPAIG, WEST BENGAL                     Tel :03","03","03","friendst@rediffmail.com","UILDING","A,, URI, 561-230476, 561-224815, :friendst@rediffmail.com","","friendst@rediffmail.com","Jalpaiguri"
18,"KILLCOTT","B-9","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",632.44,431.25,"","P.O. MATELLI, DIST: JALPAIGURI",,,"DUNCANS INDUSTRIES LIMITED","P.O. MATELLI, DIST: JALPAIGURI","9932911652","","killtg@duncans-tea.com","DUNCANS INDUSTRIES LIMITED","P.O. MATELLI, DIST: JALPAIGURI","9932911652","killtg@duncans-tea.com","Jalpaiguri"
19,"LEESH RIVER TEAGARDEN","B-02","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",1029.43,634.61,"ITA","PO BAGRAKOTE, DST JALPIGURI",,,"GOODRICKE GROUP LIMITED","14, GURUSADAY RD KOL 19","033-22873065","","sebi@goodricke.com","MR A N SINGH","14, GURUSADAY RD KOL 19","033-22873065","sebi@goodricke.com","Kolkata"
20,"MALNADY TEA ESTATE","28","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",144.28,97.69,"","POST MAL, DIST-JALPAIGURI",,,"MALNADY TEA ESTATE PVT. LTD., MALNADY TEA ESTATE PVT. LTD.,","MALNADY TEA ESTATE PVT, LTD., MALNADY TEA, GOPAL BHAWAN, 2ND FLOOR,      GOPAL BHAWA, CHURCH ROAD, SILIGURI-1       CHURCH ROAD","03532432548","03532531480","","ESTATE PVT, LTD.,","N, 2ND FLOOR,, , SILIGURI-1, 32548, 31480","","","Siliguri"
21,"MANABARRIE","2307","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",521.72,292,"ITPA","P.O. MANABARI, DT JALPAIGURI,, WEST BENGAL",,,"TODI TEA CO. LTD.","2, LAL BAZAR STREET, KOLKATA, 700001","033-22101842","033-22480614","toditea@indiatimes.com","N. P. TODI","2, LAL BAZAR STREET, KOLKATA, 700001","033-22101842","toditea@indiatimes.com","Kolkata"
22,"MATELLI TEA ESTATE","N 8&9","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",1046,730.08,"ITA","MATELLI T.E P.O: MATELLI DIST:, JALPAIGURI",,,"LUXMI TEA COMPANY LIMITED","17,R.N MUKHERJEE ROAD, KISHORE BHAVAN ,KOLKATA-, 7000001","","","","LUXMI TEA COMPANY LIMITED","17,R.N MUKHERJEE ROAD, KISHORE BHAVAN ,KOLKATA-, 7000001","","","Kolkata"
23,"MEENGLAS TEA GARDEN","B-5","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",928.56,617.82,"ITA","P.O. SAILIHAT,DIST-JALPAIGURI,WB",,,"GOODRICKE GROUP LIMITED","CAMELLIA HOUSE,14, GURUSADAY ROAD,KOL-19","033-22873067","033-22872577","meen@goodricke.com","MR A.N.SINGH","CAMELLIA HOUSE,14, GURUSADAY ROAD,KOL-19","033-22873067","goodricke@vsnl.com","Kolkata"
24,"NAGAISUREE","B-8","Dooars","JALPAIGURI","MATELLI","Proprietorship",964.19,629.97,"TRA","P.O. MATELLI, DIST-JALPAIGURI,WB",,,"DUNCANS INDUSTRIES LIMITED","31, N.S. CHANDRA ROAD, KOL-1, tea.com","033-2200962","033-2486021","","MR M.GURBAXANI","31, N.S. CHANDRA ROAD, KOL-1, tea.com","033-2200962","","Kolkata"
25,"NEDAM TEA ESTATE","J-25","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",355.73,255.83,"ITA","PO MAL JALPAIGURI",,,"NORTHERN BENGAL TEA","CORPORATION LTD, ATIABARI BUILDING DBC ROAD, JALPIGURI","03561230733","03562200208","nbtcl@rediffmail.com","ANAND AGARWAL","ATIABARI BUILDING DBC ROAD, JALPIGURI","9434022153","nbtcl@rediffmail.com","Jalpaiguri"
26,"NEPUCHAPUR TEA ESTATE","05","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",400.02,296.35,"TRA","NEPUCHAPUR T.E P.O: BARADIGHI, DIST: JALPAIGURI, E-, Mail :carlton.kinglee@nepuchapurtea.c, m",,,"DIPALI DASGUPTA","NEPUCHAPUR TEA CO LTD 5A,NC, DUTTA SARANI KOLKATA-700001","03322302646","03322308738","","MR. RAJA RAY","NEPUCHAPUR TEA CO LTD 5A,NC, DUTTA SARANI KOLKATA-700001","9830882010","raja.ray@nepuchapurtea.com","Kolkata"
27,"NEW GLENCO TEA ESTATE","2390","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",550.72,349.78,"ITA","MALBAZAR,, JALPAIGURI,WESTBENGAL",,,"SOONGACHI TEA INDUSTRIES (P) LTD","ARJUN ENCLAVE,TEA AUCTION, ROAD,SILIGURI","03532510831","03532510833","soongachi@gmail.com","S.K.SARIA","ARJUN ENCLAVE,TEA AUCTION","9434001426","soongachi@gmail.com","Siliguri"
28,"OODLABARI TEA ESTATE","276","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",623.41,484.18,"ITA","P.O: MANABARI, DIST. : JALPAIGURI",,,"SHRI AJOY KUMAR NAHATA","OODLABARI TEA CO.LTD., 11,R.N.MUKHERJEE ROAD,, KOLKATA-01","033-22481101","033-22489515","oodlabari@hotmail.com","NOT APPLICABLE","OODLABARI TEA CO.LTD., 11,R.N.MUKHERJEE ROAD,, KOLKATA-01","033-22481101","oodlabari@hotmail.com","Kolkata"
29,"PUTHARJHORA TEA ESTATE","2611","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",566.8,369.44,"TAI","P.O. MARAPUR ,DIST. JALPAIGURI., (W.B.)",,,"PUTHARJHORA TEA GARDEN","PVT. LDT., 30,JL ROAD,KOLKATA-700016","03322299147","03322496879","teapromoters@vsnl.net","MR. K.C.AGARWAL","30,JL ROAD,KOLKATA-700016","03322299147","teapromoters@vsnl.net","Kolkata"
30,"RAJA TEA ESTATE","2293","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",600.08,417.67,"ITA","POST MALBAZAR, DIST JALPAIGURI,, WEST BENGAL",,,"ABHIJIT TEA CO.(P) LTD.","AGARWAL HOUSE, 2ND MILE,, SEVOKE ROAD, SILIGURI","03532543857","03532542656","","MR.V.D.DUA","AGARWAL, HOUSE, 2ND MILE,, SEVOKE ROAD, SILIGURI","03532543857","teraitea@gmail.com","Siliguri"
31,"RANICHERRA TEA ESTATE","2588","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",1226.79,715.32,"ITA","PO SAILIHAT, JALPAIGURI, WEST, BENGAL",,,"RANICHERRA TEA CO.LTD","PO MATELLI, JALPAIGURI,735223, E-, Mail :ranicherra_tea@rediffmail.com","9800075337","03562242264","ranicherra_tea@rediffmail.com","PRADEEP KUMAR GOEL","PO MATELLI, JALPAIGURI,735223, E-, Mail :ranicherra_tea@rediffmail.com","9800075337","ranicherra_tea@rediffmail.com","Jalpaiguri"
32,"RUNGAMUTTEE TEA ESTATE","A4","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",1427.77,771.74,"ITA","PO-MAL,DIST-JALPAIGURI,WB, E-, Mail :rungamuttee.estate@amalgamated., in",,,"AMALGAMATED PLANTATIONS","PRIVATE LIMITED, 5/2 RUSSELL STREET,KOL-700071 Tel, E-, Mail :rungamuttee.estate@amalgama, ted.in","03322267638","03322267894","","MR DEEPAK ATAL(MD)","5/2 RUSSELL STREET,KOL-700071, :03322267638, E-, Mail :rungamuttee.estate@amalgama, ted.in","","","Kolkata"
33,"SONALI TEA ESTATE","2434","Dooars","JALPAIGURI","MATELLI","Proprietorship",426.92,217.58,"None","SONALI T.E.,P.O., BAGRACOTE,JALPAIGURI",,,"SHRI RAJHESH JHUNJHUNWALA","SONALI T.E.,P.O. BGRACOTE","8927767461","","rsagroup@gmail.com","SHRI RAJHESH JHUNJHONWALA","SONALI T.E.,P.O. BAGRACOTE","8927767461","rsagroup@gmail.com","Other / Unspecified"
34,"SOONGACHI","A-6","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",1052,639.42,"TAI","P.O - MALBAZAR, DIST -JALPAIGURI,, WEST BENGAL.",,,"G.D. AGARWAL","ANJU ENCLAVE, TEA AUCTION, ROAD, SILIGURI-3","03532510831","03532510833","shivksaria@gmail.com","S.K. SARIA","ANJU ENCLAVE, TEA AUCTION, ROAD, SILIGURI-3","03532510831","shivksaria@gmail.com","Siliguri"
35,"TOONBARRIE TEA ESTATE","2120","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",259.42,154.35,"TRA","TOONBARRIE TEA ESTATE, POST, MAL DIST- JALPAIGURI",,,"TOONBARI TEA ESTATE PVT.","LTD.,, NO.8, KHAIRU PLACE, KOLKATA-, 700 072","03532432548","03532531480","","TOONBARI TEA ESTATE PVT.","LTD.,, NO.8, KHAIRU PLACE, KOLKATA-, 700 072","03532432548","","Kolkata"
36,"WASHABARIETEA ESTATE","2404","Dooars","JALPAIGURI","MATELLI","Public Ltd Co",698.18,438.25,"ITA","BAGRAKOTE, JALPAIGURI",,,"A.PALCHOUDHURI,NAYANTARA","PALCHOUDHURI, FARADAY HOUSE,P-17,GANESH, CHANDRA AVENUE, KOLKATA -13","03322345760","03322365890","washabarie@gmail.com","A.PALCHOUDHURI,NAYANTARA","PALCHOUDHURI, FARADAY HOUSE,P-17,GANESH, CHANDRA AVENUE, KOLKATA -13","03322345760","washabarie@gmail.com","Kolkata"
37,"ZURRANTEE TEA","2621","Dooars","JALPAIGURI","MATELLI","Proprietorship",742.46,510.18,"ITA","INDONG MATIALLI,DIST-, JALPAIGURI,W.B.",,,"SHASHANK PRASAD","2,HARE STREET NICCO HOUSE,, KOL-1","033-22489226","033-22486432","tea@ddptl.com","MR.SHASHANK PRASAD","2,HARE STREET NICCO HOUSE,, KOL-1","9831018022","tea@ddptl.com","Kolkata"
38,"AMARPUR TEA ESTATE","2810/2811","Dooars","JALPAIGURI","JALPAIGURI","Public Ltd Co",80.5,70.33,"ITPA","P.O-BERUBARI, DIST-JALPAIGURI,, W.B",,,"AMARPUR TEA PLANTATIONS LTD ALOK CHAMARIA","1/1A VANSITTART ROW, KOL-1  1/1A VANSI","033-22485837","033-22480767","phaskowa@gmail.com","TTART ROW, KOL-1","2485837, 2480767, askowa@gmail.com","","askowa@gmail.com","Kolkata"
39,"DAM DIM","A2","Dooars","JALPAIGURI","JALPAIGURI","Public Ltd Co",1361.51,738.02,"ITA","P.O DAMDIM,DIST.JALPAIGURI",,,"AMALGAMATED PLANTATIONS","PRIVATE LIMITED, 5/2,RUSSELL ST. KOLKATA-700071 Tel :, E-, Mail :ashok.bordoloi.amalgamated.in","03322267638","","","MR.A.BORDOLOI","5/2,RUSSELL ST. KOLKATA-700071, 03322267638, E-, Mail :ashok.bordoloi.amalgamated.in","","","Kolkata"
40,"DANGUAJHAR TEA GARDEN","B-31","Dooars","JALPAIGURI","JALPAIGURI","Public Ltd Co",963.9,660.57,"ITA","P.O-DANGUAJHAR, DIST-JALPAIGURI,, W.B",,,"GOODRICKE GROUP LIMITED","14, GURUSADAY ROAD, KOL-19","033-22873067","033-22872577","goodricke@vsnl.com","A. N. SINGH","14, GURUSADAY ROAD, KOL-19","033-22873067","goodricke@vsnl.com","Kolkata"
41,"JOYPUR","16","Dooars","JALPAIGURI","JALPAIGURI","Public Ltd Co",365.08,343.69,"ITPA","P.O-PRASANNANAGAR, DIST-, JALPAIGURI, W.B",,,"SUNNY VALLEY TEA &","INDUSTRIES LTD, P.O+DIST-JALPAIGURI, W.B","03561-230204","03561-230204","","RAJENDRA KR. MAHESWARI","P.O+DIST-JALPAIGURI, W.B","03561-230204","","Jalpaiguri"
42,"KARALA VALLEY TEA ESTATE","145","Dooars","JALPAIGURI","JALPAIGURI","Public Ltd Co",331.84,224.3,"ITPA","P.O-MOHITNAGAR, DIST-JALPAIGURI,, W.B",,,"DARJEELING DOOARS","PLANTATIONS (TEA) LTD., NICCO HOUSE, 4TH FLOOR, 2,, HARE STREET, KOL-1","033-22487908","033-22486432","tea@ddptl.com","SHASHANK PRASAD","NICCO HOUSE, 4TH FLOOR, 2,, HARE STREET, KOL-1","033-22487908","tea@ddptl.com","Kolkata"
43,"KONPAKRI AGRO INDUSTRIES (P)","3744","Dooars","JALPAIGURI","JALPAIGURI","Public Ltd Co",41.263,35.62,"ITPA","LTD*, P.O-BERUBARI, DIST-JALPAIGURI,, W.B",,,"KONPAKRI AGRO INDUS. (P) LTD PUROJIT BAKSHI GUPTA","ASSAM MORE, P.O-MOHITNAGAR, ASSAM MORE, JALPAIGURI                   JALPAIGUR","03561-255397","03561-257490","puro24@gmail.com",", P.O-MOHITNAGAR,","I, 0-04901, 1-257490, uro24@gmail.co","","uro24@gmail.co","Jalpaiguri"
44,"NANDAN TEA ESTATE","3818","Dooars","JALPAIGURI","JALPAIGURI","Public Ltd Co",25.12,25.12,"ITPA","P.O-MANUAGANJ, DIST-JALPAIGURI,, W.B",,,"CHUNIAJHORA TEA CO LTD","K. C. DEY ROAD, SILIGURI-734401","0353-645796","0353-645796","","ANAND KUMAR AGARWAL","K. C. DEY ROAD, SILIGURI-734401","9933020942","","Siliguri"
45,"NEPATI VALLEY TEA ESTATE","3785","Dooars","JALPAIGURI","JALPAIGURI","Public Ltd Co",27.85,26.95,"ITPA","P.O-RANGDHAMALI, DIST-, JALPAIGURI, W.B",,,"NEPATI VALLEY TEA ESTATE (P) LTD","P.O-RANGDHAMALI, DIST-, JALPAIGURI, W.B","0353-2530946","98320-41672","das.samir133@gmail.com","BADAL CHANDRA DAS","P.O-RANGDHAMALI, DIST-, JALPAIGURI, W.B","0353-2530946","das.samir133@gmail.com","Siliguri"
46,"PARBATI T.E AND GOURANGA","3826","Dooars","JALPAIGURI","JALPAIGURI","Public Ltd Co",27.68,27.68,"ITPA","CHANDRA T.E*, P.O-KARJIPARA, DIST-JALPAIGURI,, W.B",,,"GOURANGA PARBATI TEA CO PVT DILIP DAS AND PRADIP DAS","LTD                         TILAK ROAD,, TILAK ROAD, HAKIMPARA,      SILIGURI, SILIGURI                    Tel :9832092","9832092","0353-24","","HAKIMPARA,","716, 35726","","","Siliguri"
47,"RAIPUR TEA ESTATE","129","Dooars","JALPAIGURI","JALPAIGURI","Public Ltd Co",340.21,239.83,"TAI","P.O-RANGDHAMALI, DIST-, JALPAIGURI, W.B",,,"SUBRATA SAHA","AMRITPUR TEA CO. LTD., P.O+DIST-JALPAIGURI, W.B","9434064999","0353-2503808","amritapurteaslg@gmail.com","SUBRATA SAHA","AMRITPUR TEA CO. LTD., P.O+DIST-JALPAIGURI, W.B","9434064999","amritapurteaslg@gmail.com","Jalpaiguri"
48,"SARASWATIPUR T.E","31","Dooars","JALPAIGURI","JALPAIGURI","Public Sector",379.31,326.4,"TRA","P.O: SARASWATIPUR BAGAN DIST;, JALPAIGURI PIN 735133",,,"SARASWATIPUR TEA &","INDUSTRIES LTD, CENTRE POINT 28/2, SHAKESPEARE SARANI 4TH, FLOOR FLAT NO.401 KOLKATA, 700017","03322814014,22408982","03322814008","","SARASWATIPUR TEA &","INDUSTRIES LTD, CENTRE POINT 28/2, SHAKESPEARE SARANI 4TH, FLOOR FLAT NO.401 KOLKATA, 700017","03322814014,22408982","","Kolkata"
49,"AMBARI TEA ESTATE","P-1","Dooars","JALPAIGURI","NAGRAKATA","Public Ltd Co",707.37,587.1,"TRA","AMBARI T.E.,P.O. AMBARI, BAGAN,JALPAIGURI",,,"DIANA TEA CO. LTD.","3B,LALBAZAR ST,KOLKATA-1","03340661593","03322487571","","SHRI MANOJ AGARWAL","3B,LALBAZAR ST,KOLKATA-1","9830682087","","Kolkata"
50,"BANARHAT","2767","Dooars","JALPAIGURI","NAGRAKATA","Public Sector",796.94,634.21,"ITA","PO- BANARHAT,DIST-JALPAIGURI, WB",,,"ANDREW YULE & COMPANY LIMITED","YULE, HOUSE, 8, DR. RP SARANI,, KOLKATA 700001","03322428210","03322434741","","S MUNSHI","YULE, HOUSE, 8, DR. RP SARANI,, KOLKATA 700001","03322428210","","Kolkata"
51,"BHOGATPORE TEA ESTATE","2662","Dooars","JALPAIGURI","NAGRAKATA","Public Ltd Co",976.59,643.06,"ITA","PO NAGRAKATA -735225",,,"BHOGOTPUR TEA CO.LTD","NILHAT HOUSE,7TH, FLOOR,11,R.N.MUKHERJEE, ROAD,KOLKATA","03322427351","03322427297","bhagatpurtea@hotmail.com","ANIL KUMAR NAHATA","NILHAT HOUSE,7TH, FLOOR,11,R.N.MUKHERJEE, ROAD,KOLKATA","9831990002","bhagatpurtea@hotmail.com","Kolkata"
52,"BINAGURI TEA ESTATE","2598","Dooars","JALPAIGURI","NAGRAKATA","Proprietorship",725.09,602.56,"ITA","P.O: BINNAGURI, DIST.JALPAIGURI, WEST BENGAL.",,,"BINAGURI TEA CO. PVT.LTD.","238A,AJC BOSE ROAD, KOLKATA-700020","033-22483110","033-22484853","binaguri.te@gmail.com","SHRI R.K.SINGH","BINAGURI TEA CO. PVT.LTD., 238A,AJC BOSE ROAD, KOLKATA-700020","033-22483110","binaguri.te@gmail.com","Kolkata"
53,"CARRON TEA ESTATE","2520","Dooars","JALPAIGURI","NAGRAKATA","Proprietorship",581.55,303.86,"ITA","CARRON T.G P.O: CARRON DIST:, JALPAIGURI",,,"BASU TEA PRIVATE LTD","E-3/2 GILLANDER HOUSE 8,N.S, ROAD KOLKATA-700001","03322133460,9831195470","03322136122","","MR. P.K BASU","E-3/2 GILLANDER HOUSE 8,N.S, ROAD KOLKATA-700001","03322133460","","Kolkata"
54,"CHAMURCHI TEA ESTATE","19","Dooars","JALPAIGURI","NAGRAKATA","Public Ltd Co",889.2,493.22,"TRA","P.O. CHAMURCHI DIST. JALPAIGURI, WEST BENGAL",,,"RAJENDRA PRASAD TIWARI","216, MG ROAD KOLKATA- 700007","03322526728-29","03322527836","rajendra.1957@yahoo.com","RAJENDRA PRASAD TIWARI","216, MG ROAD KOLKATA- 700007","03322526728-29","rajendra.1957@yahoo.com","Kolkata"
55,"CHENGMARI","2613","Dooars","JALPAIGURI","NAGRAKATA","Public Ltd Co",1851.37,1290.87,"TAI","PO-CARRON, DIST -JALPAIGURI, WB",,,"CHENGMARI TEA CO. LTD.","CHENGMARI TEA CO. LTD. .37,, SHAKESPEARE SARANI, KOLKATA, -700017","033 22809603","033-22909355","chen_935503@bsnl.in","RAMESH KR. MORE","CHENGMARI TEA CO. LTD. .37,, SHAKESPEARE SARANI, KOLKATA, -700017","033 22809603","chen_935503@bsnl.in","Kolkata"
56,"CHOONABHUTTI TEA ESTATE","M-7","Dooars","JALPAIGURI","NAGRAKATA","Public Sector",539.95,401.8,"TRA","P.O-CHAMURCHI, DIST-JALPAIGURI,, W.B",,,"ANDREW YULE & COMPANY LIMITED","8, R.P. SARANI, KOL-1","033-22428210","033-22434741","cetea@andrewyule.com","SUNIL MUNSHI","8, R.P. SARANI, KOL-1","033-22428210","cetea@andrewyule.com","Kolkata"
