phone,client,garden,source,confidence,send_decision,notes,email,imported
6901259873,Bipinbag T.E.,Bipinbag T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,,True
7002029001,Chowdang T.E.,Chowdang T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: . In original list: Yes,,False
6001684868,Dekhari T. E. (Unit I),Dekhari T. E. (Unit I),Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: . In original list: Yes,,False
9435132151,Dekhari T.E. (Mahmora Division Unit II),Dekhari T.E. (Mahmora Division Unit II),Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: . In original list: Yes,,True
9101006460,Dekhari T.E. (Naharani Division) (Megha T.E.),Dekhari T.E. (Naharani Division) (Megha T.E.),Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: . In original list: Yes,,False
9435473237,Dekhari T.E. (Shanshun Tea & Ind. Pvt.Ltd.),Dekhari T.E. (Shanshun Tea & Ind. Pvt.Ltd.),Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: . In original list: Yes,,False
9954440448,Dinjan T.E.,Dinjan T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: . In original list: Yes,,True
8402061666,Diroibam T.E.,Diroibam T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: . In original list: Yes,,False
9435030754,Dulia T.E.,Dulia T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: . In original list: Yes; Original personal number. Phone type: Landline (Dibrugarh). In original list: Yes,,True
7002037389,Duliabam T.E.,Duliabam T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: . In original list: Yes,,False
9854028014,Duliabari T.E. (B),Duliabari T.E. (B),Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Landline (Dibrugarh). In original list: Yes,,True
8638867855,Durgapur T.E.,Durgapur T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: . In original list: Yes,,False
7002833087,Ghograjan T.E.,Ghograjan T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Landline (Dibrugarh). In original list: Yes,,False
8638281523,Ghoronia T.E.,Ghoronia T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Landline (Dibrugarh). In original list: Yes,,True
8486071764,Harishpur T.E.,Harishpur T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,,True
9365634055,Hatijan T.E.,Hatijan T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,,False
9365878796,Ida T.E.,Ida T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,,True
9435031397,Jalan Nagar T.E. (S),Jalan Nagar T.E. (S),Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: . In original list: Yes,,True
6002218979,Jutiabam T.E.,Jutiabam T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,,False
8638926153,Kabir T.E.,Kabir T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: . In original list: Yes,,False
7002201299,Kaliapani T.E.,Kaliapani T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: . In original list: Yes,,True
8876321148,Kathalguri T.E.,Kathalguri T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: . In original list: Yes,,False
9435035801,Kheremia T.E. (No-II),Kheremia T.E. (No-II),Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts; Tea-Directory-Assam.xls::Worksheet,High,Send,"Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes; Parsed from Assam Tea Directory row, verify before sending",,False
9101799542,L. K. Tea Company Pvt. Ltd.,L. K. Tea Company Pvt. Ltd.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Landline (Dibrugarh). In original list: Yes,,True
9395637154,Longboi T.E.,Longboi T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: . In original list: Yes,,False
9707897688,Madhuban T.E.,Madhuban T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,,True
8876426227,Manoj Kunja T.E.,Manoj Kunja T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Landline (Dibrugarh). In original list: Yes,,False
6000522700,Mohabirbari T.E. (1),Mohabirbari T.E. (1),Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Landline (Dibrugarh). In original list: Yes,,False
9435476099,Mothola T.E.,Mothola T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,,False
9613282165,Moud Tea & Seed Co. Ltd.,Moud Tea & Seed Co. Ltd.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,,True
9706793269,Parbatipur T.E. (1),Parbatipur T.E. (1),Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: . In original list: Yes,,False
9706719317,Phukanbari T.E.,Phukanbari T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Landline (Dibrugarh). In original list: Yes,,True
9435393443,Piparatoli T.E.,Piparatoli T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,,True
9954430589,Prabhat T.E.,Prabhat T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,,True
7002829252,Rukong T.E.,Rukong T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: . In original list: Yes,,True
9435031577,Sadasiva T.E.,Sadasiva T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts; Tea-Directory-Assam.xls::Worksheet,High,Send,"Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Landline (Dibrugarh). In original list: Yes; Parsed from Assam Tea Directory row, verify before sending",,True
9101469254,Santi T.E.,Santi T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: . In original list: Yes,,True
7003122250,Satishpur T.E.,Satishpur T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,halmari@amarawatitea.com; msharma@amarawatitea.com; soham@amarawatitea.com,True
9435033023,Satkarter T.E.,Satkarter T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,,True
8011018074,Satyanarayana T.E.,Satyanarayana T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,,True
7002483957,Sorojini T.E.,Sorojini T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Landline (Dibrugarh). In original list: Yes,,False
9401129574,Suraj T.E.,Suraj T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,,True
9435532002,Triveni T.E.,Triveni T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: Other. In original list: Yes,,True
9954447408,Udalguri T.E.,Udalguri T.E.,Tea Estates number required.xlsx::Sheet1; dibrugarh.xlsx::Gardens; test_export.xlsx::Gardens; tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,High,Send,Direct estate number list; Generated garden export. District: Dibrugarh State: Assam; Original personal number. Phone type: . In original list: Yes,,True
9899997370,"Homestay by the Tea Garden, Dibrugarh",Ahmedy T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: No; Google Maps phone. Phone type: Other. In original list: Yes,,True
8011162497,ALIMUR SWEETS,Alimur T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: Yes,,True
9395836442,APARNA STORE,Aparna T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: Yes,,True
9395331162,Mancotta Tea Estate Garden,Asitpur T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: Yes; Google Maps phone. Phone type: Other. In original list: No,,True
9435032131,Assam Tea Machineries,Assam Tea & Tea Seeds Plantation,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: Yes,,True
9780992400,Balijan noth Tea Factory,Balijan (North) T.E,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: No,,True
9435131803,Bochapathar Tea Estate,Bochapathar T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: No,,True
8133947096,BRINDABAN Real-estate Consultancy,Brindaban T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: No,,True
7086048927,Bajrang Timbers,Bajrang T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: No,,True
9854679574,M/s. Dhelia & Son's- Ultratech Cement,Dhelia T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: Yes,,True
8011017408,HARISHPUR TEA ESTATE,Harishpur T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: Yes,,True
9435031926,Karangani Tea Factory,Karangani T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: No,,True
7002475029,Madhuban Dibrugarh Home Stay /মধুবন হোম ষ্টে,Madhuban T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: Yes,,True
8099787964,Maijan Factory,Maijan T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: No,,True
9859349447,Mukul Cable,Mukul T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: Yes,,True
6003018224,"Harishpur Tea Estate, Namrup",Namrup T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: No,,True
8003020021,Narayanpur Tea Estate,Narayan T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: No,,True
9101772783,Phoenix,Phoenix Tea & Agril. Firm,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: Yes,,True
8473089763,Prabhat Associates,Prabhat T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: Yes,,True
6003871124,PRADIP STORE,Pradip T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: No,,True
9435476777,Prakash Restaurant,Prakash T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: Yes,,True
8822934910,Rungliting Tea Factory,Rungliting T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: No,,True
9706823415,Sainagar Tea Estate,Sainagar T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: Yes,,True
8135975507,SURAJ FAST FOOD,Suraj T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: Yes,,True
8453061345,Tingkhong Tea Estate,Tingkhong T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: No,,True
9954269166,TRIVENI MEDICOS,Triveni T.E.,tea_estate_contacts_v2.xlsx::All Contacts; tea_estate_contacts.xlsx::Estate Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: Yes,,True
8876449550,"DUSKIN Homestay with tea garden view, Dibrugarh","[DISCOVERED] DUSKIN Homestay with tea garden view, Dibrugarh",tea_estate_contacts_v2.xlsx::All Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: Discovered,,True
9435033382,Good Rich Tea Co. Pvt Ltd,[DISCOVERED] Good Rich Tea Co. Pvt Ltd,tea_estate_contacts_v2.xlsx::All Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: Discovered,,True
9435037318,HORUJAN TEA COMPANY,[DISCOVERED] HORUJAN TEA COMPANY,tea_estate_contacts_v2.xlsx::All Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: Discovered,,True
8011972301,Heritage Tea Centre,[DISCOVERED] Heritage Tea Centre,tea_estate_contacts_v2.xlsx::All Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: Discovered,,True
7086061222,Hotel Tea County,[DISCOVERED] Hotel Tea County,tea_estate_contacts_v2.xlsx::All Contacts,Medium,Send,Google Maps phone. Phone type: Other. In original list: Discovered,name@example.com,True
