company_id,legal_name,normalized_name,cin,company_status,website,domain,registered_office,parent_group,public_company,source_ids,verified_date,notes
gs-company-the-ethelbari-tea-company-ltd,The Ethelbari Tea Company Ltd.,ethelbari tea company limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-duncans-industries-limited,Duncans Industries Limited,duncans industries limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-jaldacca-tea-plantation-pvt-ltd,Jaldacca Tea Plantation Pvt. Ltd.,jaldacca tea plantation private limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-malhati-tea-and-industries-ltd,Malhati Tea And Industries Ltd.,malhati tea and industries limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-the-friends-tea-company-ltd,The Friends Tea Company Ltd.,friends tea company limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-the-eastern-tea-company-ltd,The Eastern Tea Company Ltd.,eastern tea company limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-darjeeling-duars-plantations-tea-ltd,Darjeeling Dooars Plantations (Tea) Ltd.,darjeeling duars plantations tea limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-andrew-yule-and-company-limited,Andrew Yule & Company Limited,andrew yule and company limited,L63090WB1919GOI003229,active,https://www.andrewyule.com,andrewyule.com,"Yule House, 8 Dr. Rajendra Prasad Sarani, Kolkata 700001",Government of India,yes,tea-gis-jalpaiguri-atlas-2015|https://www.andrewyule.com/contact.php|https://www.andrewyule.com/westbengal_garden.php,2026-09-02,Current company details checked on company website.
gs-company-rangpur-tea-association-limited,Rangpur Tea Association Limited,rangpur tea association limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-malnuddy-pvt-ltd,Malnuddy Tea Estate Pvt. Ltd.,malnuddy tea estate private limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-m-k-tea-pvt-limited,M.K Tea Pvt. Limited,m k tea private limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-khayerbari-tea-co-ltd,Khayerbari Tea Co. Ltd.,khayerbari tea company limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-duars-plantations-and-industries-ltd,Dooars Plantations And Industries Ltd.,duars plantations and industries limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-putharjhora-pvt-ltd,Putharjhora Tea Garden Pvt. Ltd.,putharjhora tea garden private limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-raghu-utkarsh-tea-plantations-pvt-ltd,Raghu Utkarsh Tea Plantations (Pvt.) Ltd.,raghu utkarsh tea plantations private limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-rahimpur-tea-co-ltd,Rahimpur Tea Co. Ltd.,rahimpur tea company limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-amritapur-tea-company-ltd,Amritapur Tea Company Ltd.,amritapur tea company limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-rydak-sindicate-limited,Rydak Sindicate Limited,rydak sindicate limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-samsing-organic-tea-pvt-ltd,Samsing Organic Tea Pvt. Ltd.,samsing organic tea private limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-soongachi-tea-ind-p-ltd,Soongachi Tea Ind (P) Ltd.,soongachi tea ind p limited,,unverified,,,,,unknown,tea-gis-jalpaiguri-atlas-2015,2015-10-01,Historical company clue. Current ownership requires newer evidence.
gs-company-new-chumta-tea-co-ltd,New Chumta Tea Co. LTD,new chumta tea company limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-diana-tea-co-ltd,Diana Tea Co. Ltd.,diana tea company limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-amalgamated-plantations,Amalgamated Plantations,amalgamated plantations,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-dutta-agro-plantation-pvt,Dutta Agro Plantation PVT,dutta agro plantation private,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-sublime-agro-ltd,Sublime Agro Ltd.,sublime agro limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-the-ellenbarrie-tea-co-ltd-shanti-prosad-agarwalla,The Ellenbarrie Tea Co.Ltd. Shanti Prosad Agarwalla,ellenbarrie tea company limited shanti prosad agarwalla,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-engo-trading-and-tea-co-p,Engo Trading & Tea Co.(P),engo trading and tea company p,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-the-gopalpur-tea-company,The Gopalpur Tea Company,gopalpur tea company,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-gurjangjhora-tea-and,Gurjangjhora Tea &,gurjangjhora tea and,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-indong-tea-co-pvt-ltd,Indong Tea Co. Pvt. Ltd.,indong tea company private limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-malhati-tea-and-inds-ltd,Malhati Tea And Inds. Ltd.,malhati tea and inds limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-the-friends-tea-company-ltd-mr-ranjit-balow,The Friends Tea Company Ltd. Mr. Ranjit Balow,friends tea company limited mr ranjit balow,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-malnady-pvt-ltd-malnady-pvt-ltd,"Malnady Tea Estate Pvt. Ltd., Malnady Tea Estate Pvt. Ltd.,",malnady tea estate private limited malnady tea estate private limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-todi-tea-co-ltd,Todi Tea Co. Ltd.,todi tea company limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-luxmi-tea-company-limited,Luxmi Tea Company Limited,luxmi tea company limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-northern-bengal-tea,Northern Bengal Tea,northern bengal tea,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-dipali-dasgupta,Dipali Dasgupta,dipali dasgupta,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-soongachi-tea-industries-p,Soongachi Tea Industries (P),soongachi tea industries p,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-shri-ajoy-kumar-nahata,Shri Ajoy Kumar Nahata,shri ajoy kumar nahata,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-putharjhora,Putharjhora Tea Garden,putharjhora tea garden,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-abhijit-tea-co-p-ltd,Abhijit Tea Co.(P) Ltd.,abhijit tea company p limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-ranicherra-tea-co-ltd,Ranicherra Tea Co.Ltd,ranicherra tea company limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-shri-rajhesh-jhunjhunwala,Shri Rajhesh Jhunjhunwala,shri rajhesh jhunjhunwala,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-g-d-agarwal,G.D. Agarwal,g d agarwal,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-toonbari-pvt,Toonbari Tea Estate Pvt.,toonbari tea estate private,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-a-palchoudhuri-nayantara,"A.Palchoudhuri,Nayantara",a palchoudhuri nayantara,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-shashank-prasad,Shashank Prasad,shashank prasad,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-amarpur-tea-plantations-ltd-alok-chamaria,Amarpur Tea Plantations LTD Alok Chamaria,amarpur tea plantations limited alok chamaria,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-sunny-valley-tea-and,Sunny Valley Tea &,sunny valley tea and,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-darjeeling-duars,Darjeeling Dooars,darjeeling duars,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-konpakri-agro-indus-p-ltd-purojit-bakshi-gupta,Konpakri Agro Indus. (P) LTD Purojit Bakshi Gupta,konpakri agro indus p limited purojit bakshi gupta,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-chuniajhora-tea-co-ltd,Chuniajhora Tea Co LTD,chuniajhora tea company limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-nepati-valley-p,Nepati Valley Tea Estate (P),nepati valley tea estate p,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-gouranga-parbati-tea-co-pvt-dilip-das-and-pradip-das,Gouranga Parbati Tea Co PVT Dilip Das And Pradip Das,gouranga parbati tea company private dilip das and pradip das,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-subrata-saha,Subrata Saha,subrata saha,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-saraswatipur-tea-and,Saraswatipur Tea &,saraswatipur tea and,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-andrew-yule-and-company,Andrew Yule & Company,andrew yule and company,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-bhogotpur-tea-co-ltd,Bhogotpur Tea Co.Ltd,bhogotpur tea company limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-basu-tea-private-ltd,Basu Tea Private LTD,basu tea private limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-rajendra-prasad-tiwari,Rajendra Prasad Tiwari,rajendra prasad tiwari,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-chengmari-tea-co-ltd,Chengmari Tea Co. Ltd.,chengmari tea company limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-debpara-tea-co-ltd,Debpara Tea Co. Ltd.,debpara tea company limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-roshanlal-agarwal,Roshanlal Agarwal,roshanlal agarwal,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-h-v-kejriwal,H.V. Kejriwal,h v kejriwal,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-west-bengal-tea,West Bengal Tea,west bengal tea,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-v-mandal,V.Mandal,v mandal,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-ajit-kumar-agarwal,Ajit Kumar Agarwal,ajit kumar agarwal,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-arion-agencies-pvt-ltd,Arion Agencies Pvt. Ltd.,arion agencies private limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-kanchan-tree-plantations,Kanchan Tree Plantations,kanchan tree plantations,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-quality-tea-producing-co,Quality Tea Producing Co.,quality tea producing company,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-giriraj-plantations-pvt-ltd,Giriraj Plantations Pvt. LTD,giriraj plantations private limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-bijoynagar-tea-co-ltd,Bijoynagar Tea Co. LTD,bijoynagar tea company limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-octivious-tea-and-india-ltd,Octivious Tea & India Ltd.,octivious tea and india limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-ashok-kumar-bansal,Ashok Kumar Bansal,ashok kumar bansal,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-atiabari-tea-company-ltd,Atiabari Tea Company LTD,atiabari tea company limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-kaniska-sethia,Kaniska Sethia,kaniska sethia,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-barnobari-tea-and-industries,Barnobari Tea & Industries,barnobari tea and industries,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-bhatkawa-tea-industries-ltd-sri-sudarshan-jalan,Bhatkawa Tea Industries Ltd. Sri Sudarshan Jalan,bhatkawa tea industries limited sri sudarshan jalan,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-suraj-govind-estates-pvt,Suraj Govind Estates Pvt.,suraj govind estates private,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-buxa-duars-tea-co-i-ltd,Buxa Dooars Tea Co (I) LTD,buxa duars tea company i limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-diabari-tea-co-ltd,Diabari Tea Co LTD,diabari tea company limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-surajit-bakshi,Surajit Bakshi,surajit bakshi,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-sri-ajay-prakash,Sri Ajay Prakash,sri ajay prakash,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-buds-tea-industries,Buds Tea Industries,buds tea industries,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-jadabpur-tea-co-ltd,Jadabpur Tea Co LTD,jadabpur tea company limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-sonar-bangla-tea-co-p-ltd,Sonar Bangla Tea Co (P) LTD,sonar bangla tea company p limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-trisakti-tea-co-p-ltd,Trisakti Tea Co (P) LTD,trisakti tea company p limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-arun-kumar-mundra,Arun Kumar Mundra,arun kumar mundra,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-shikarpur-and-bhandapur-tea,Shikarpur & Bhandapur Tea,shikarpur and bhandapur tea,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-alipurduar-enterprises-ltd,Alipurduar Enterprises LTD,alipurduar enterprises limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-usha-tea-co-pvt-ltd,Usha Tea Co PVT LTD,usha tea company private limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-rnt-plantations-limited,Rnt Plantations Limited,rnt plantations limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-santipara-tea-co-ltd,Santipara Tea Co. Ltd.,santipara tea company limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-jahuri-durga-tea-co-p-ltd,Jahuri Durga Tea Co (P) LTD,jahuri durga tea company p limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-anoop-tea-co-pvt-ltd,Anoop Tea Co (Pvt) LTD,anoop tea company private limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-anjuman-tea-co-ltd,Anjuman Tea Co LTD,anjuman tea company limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-hind-tea-company-limited,Hind Tea Company Limited,hind tea company limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-devi-bagaria,Devi Bagaria,devi bagaria,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-singhania-tea-company,Singhania Tea Company,singhania tea company,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-subhojit-ghosh,Subhojit Ghosh,subhojit ghosh,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-ss-gupta,Ss Gupta,ss gupta,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-h-c-jain,H.C. Jain,h c jain,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-laxmikant-gaur,Laxmikant Gaur,laxmikant gaur,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-himalayan-tea-and-agro-pvt-ltd-narendra-berlia,Himalayan Tea & Agro PVT LTD Narendra Berlia,himalayan tea and agro private limited narendra berlia,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-etehlbari-tea-company-1932,Etehlbari Tea Company 1932,etehlbari tea company 1932,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-a-k-chamaria,A.K. Chamaria,a k chamaria,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-the-bengal-dfooars,The Bengal Dfooars,bengal dfooars,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-kohinoor-tea-co-pvt-ltd,Kohinoor Tea Co. Pvt. Ltd.,kohinoor tea company private limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-phaskowa-tea-plantations,Phaskowa Tea Plantations,phaskowa tea plantations,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-radharani-tea-and-estates-pvt-radharani-tea-and-estates-pvt,Radharani Tea & Estates Pvt. Radharani Tea & Estates Pvt.,radharani tea and estates private radharani tea and estates private,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-mr-shekhar-roychoudhury-mr-s-r-choudhury,Mr. Shekhar Roychoudhury Mr. S.R Choudhury,mr shekhar roychoudhury mr s r choudhury,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-alipurduar-tea-company-ltd,Alipurduar Tea Company LTD,alipurduar tea company limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-the-ethelbari-tea-co-1932,The Ethelbari Tea Co (1932),ethelbari tea company 1932,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-gillanders-arbuthnot-and-co,Gillanders Arbuthnot & Co.,gillanders arbuthnot and company,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-huldibari-industries-and,Huldibari Industries &,huldibari industries and,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-mcleod-russel-india-limited-shri-s-chakraborty,Mcleod Russel India Limited Shri S. Chakraborty,mcleod russel india limited shri s chakraborty,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-s-k-bachawat,S.K. Bachawat,s k bachawat,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-rungamati-tea-industries,Rungamati Tea Industries,rungamati tea industries,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-mkteapvt-ltd,Mkteapvt.Ltd,mkteapvt limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
gs-company-palashbari-tea-co-ltd,Palashbari Tea Co LTD,palashbari tea company limited,,unverified,,,,,unknown,tea-board-wb-directory-2013,2013-03-18,Historical company clue. Current ownership requires newer evidence.
