garden_id,canonical_name,normalized_name,current_status,status_confidence,status_checked_date,district_current,subdivision_or_block,tea_board_registration,atlas_index,historical_area_ha,tea_area_ha,current_company_id,current_owner_confidence,last_material_event_date,contact_confirmed_active,research_state,prospect_eligibility,exclusion_reason,source_ids,notes
gs-dooars-bhogotpore,Bhogotpore,bhogotpore,unknown,unknown,,,Nagrakata,2662,16,976.59,643.06,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-binaguri,Binaguri,binaguri,unknown,unknown,,,Nagrakata,2598,17,725.09,602.56,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-birpara,Birpara,birpara,unknown,unknown,,Alipurduar,Madarihat,B 15,18,1529.40,1004.38,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-carron,Carron,carron,unknown,unknown,,Jalpaiguri,Nagrakata,2520,19,581.55,303.86,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-central-duars,Central Dooars,central duars,active_confirmed,high,2026-09-02,Alipurduar,Kalchini,N-2,20,1225.60,818.66,gs-company-mcleod-russel-india-ltd,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-chalouni,Chalouni,chalouni,active_confirmed,high,2026-09-02,Jalpaiguri,Matelli,B-7,21,778.96,562.93,gs-company-goodricke-group-ltd,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-chinchula,Chinchula,chinchula,unknown,unknown,,Alipurduar,Kalchini,2531,22,920.75,602.09,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-choonabhuti,Choonabhuti,choonabhuti,active_confirmed,high,2026-09-02,Jalpaiguri,Nagrakata,M-7,23,539.95,401.8,gs-company-andrew-yule-and-company-limited,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-chuapara,Chuapara,chuapara,unknown,unknown,,,Kalchini,N-7,24,933.64,689.47,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-chuniajhora,Chuniajhora,chuniajhora,unknown,unknown,,Alipurduar,,21/N-18,25,,,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-dalgaon,Dalgaon,dalgaon,unknown,unknown,,,Madarihat,2622,26,1069.04,656.02,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-damdim,Damdim,damdim,active_confirmed,high,2026-09-02,Jalpaiguri,Jalpaiguri,A2,27,1361.51,738.02,gs-company-amalgamated-plantations-pvt-ltd,high,2026-09-02,no,needs_contact,target_candidate,,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-debipur,Debipur,debipur,unknown,unknown,,Jalpaiguri,,2872,28,85.91,80.0,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-debpara,Debpara,debpara,active_confirmed,high,2026-09-02,Jalpaiguri,Banarhat,12,29,851.81,546.24,,high,2026-09-02,yes,needs_current_owner,excluded_current_client,Current GardenSuite client,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Existing GardenSuite client - excluded from cold outreach campaigns.
gs-dooars-demdima,Demdima,demdima,unknown,unknown,,Alipurduar,Madarihat,2430,30,1072.71,683.58,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-denguajhar,Denguajhar,denguajhar,active_confirmed,high,2026-09-02,Jalpaiguri,Jalpaiguri,B-31,31,963.90,692.84,gs-company-goodricke-group-ltd,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-dharanipur,Dharanipur,dharanipur,unknown,unknown,,Jalpaiguri,Nagrakata,2515,32,441.59,264.52,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-dhowlajhora,Dhowlajhora,dhowlajhora,unknown,unknown,,Alipurduar,Kumargram,39,33,608.92,434,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-dima,Dima,dima,unknown,unknown,,Alipurduar,Kalchini,J-39,34,956.31,718,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-dumchipara,Dumchipara,dumchipara,unknown,unknown,,Alipurduar,Madarihat,B-17,35,1040.79,695.79,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-ellenbarie,Ellenbarie,ellenbarie,unknown,unknown,,Jalpaiguri,Matelli,2472,36,382.02,229.46,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-engo,Engo,engo,unknown,unknown,,Jalpaiguri,Matelli,2417,37,161.18,109.14,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-ethelbarie,Ethelbarie,ethelbarie,unknown,unknown,,Jalpaiguri,Dhupguri,2318,38,364.18,270.52,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-gairkhata,Gairkhata,gairkhata,active_confirmed,high,2026-09-02,,Dhupguri,860,39,1030.7,710.63,gs-company-gillanders-arbuthnot-and-co-limited,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-gandrapara,Gandrapara,gandrapara,active_confirmed,high,2026-09-02,,Dhupguri,B-13,40,979.31,832.03,gs-company-goodricke-group-ltd,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-garganda,Garganda,garganda,unknown,unknown,,,Madarihat,B-2631,41,764.48,528.36,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-goodhope,Goodhope,goodhope,active_confirmed,high,2026-09-02,Jalpaiguri,Matelli,2294,42,599.80,418.29,gs-company-diana-tea-company-limited,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-gopalpur,Gopalpur,gopalpur,unknown,unknown,,Alipurduar,Matelli,152,43,829.60,510.27,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-gopimohan,Gopimohan,gopimohan,unknown,unknown,,,Madarihat,825,44,74.04,43.33,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-gurjangjhora,Gurjangjhora,gurjangjhora,unknown,unknown,,Jalpaiguri,Matelli,25,45,326.36,268.81,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-haldibari,Haldibari,haldibari,unknown,unknown,,Jalpaiguri,Dhupguri,P-9,46,1130.3,851.24,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-hantapara,Hantapara,hantapara,unknown,unknown,,,Madarihat,B-16,47,1230.09,655,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-hope,Hope,hope,active_confirmed,high,2026-09-02,Jalpaiguri,Nagrakata,B/10,48,679.57,432.12,gs-company-goodricke-group-ltd,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-indong,Indong,indong,active_confirmed,high,2026-09-02,Jalpaiguri,Matelli,2649,49,740.38,483.84,gs-company-indong-tea-company-limited,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-jadabpur,Jadabpur,jadabpur,unknown,unknown,,Jalpaiguri,Mainaguri,168,50,278.13,141.87,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-jainti,Jainti,jainti,unknown,unknown,,Alipurduar,Kalchini,N-18,51,827.51,411.95,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-jaldacca-altadanga,Jaldacca Altadanga,jaldacca altadanga,unknown,unknown,,Jalpaiguri,Nagrakata,15,52,405.37,192.47,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-jalpara,Jalpara,jalpara,unknown,unknown,,,,,53,,,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-jiti,Jiti,jiti,active_confirmed,high,2026-09-02,Jalpaiguri,Nagrakata,B-11,54,934.46,580.23,gs-company-goodricke-group-ltd,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-jogesh-chandra,Jogesh Chandra,jogesh chandra,unknown,unknown,,Jalpaiguri,Matelli,148,55,577.11,463.39,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-joybirpara,Joybirpara,joybirpara,unknown,unknown,,Alipurduar,Dhupguri,2462,56,392.38,220.66,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-kailashpur,Kailashpur,kailashpur,unknown,unknown,,Jalpaiguri,Matelli,1812,57,285.02,294.54,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-kalabari,Kalabari,kalabari,active_confirmed,high,2026-09-02,,Dhupguri,436,58,539.50,310.36,gs-company-rydak-syndicate-limited,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-karala-valley,Karala Valley,karala valley,unknown,unknown,,Jalpaiguri,Jalpaiguri,145,59,331.84,224.30,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-karballa,Karballa,karballa,active_confirmed,high,2026-09-02,Jalpaiguri,Nagrakata,M(19)2768,60,1021.95,755.25,gs-company-andrew-yule-and-company-limited,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-kartick,Kartick,kartick,active_confirmed,high,2026-09-02,,Kumargram,N-14,61,624.95,338.26,gs-company-rydak-syndicate-limited,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-kathaldhura,Kathaldhura,kathaldhura,unknown,unknown,,Jalpaiguri,Nagrakata,3973,62,80.97,74.93,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-killcott,Killcott,killcott,unknown,unknown,,Jalpaiguri,Matelli,B-9,63,632.44,431.25,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-kohinoor,Kohinoor,kohinoor,unknown,unknown,,Alipurduar,Kumargram,38,64,671.73,467.3,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-kumargram,Kumargram,kumargram,active_confirmed,high,2026-09-02,Alipurduar,Kumargram,B-22,65,871.62,659.01,gs-company-goodricke-group-ltd,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-kumlai,Kumlai,kumlai,likely_active,medium,2026-09-02,Jalpaiguri,,A-3,66,,,,unknown,2025-02-18,no,needs_current_owner,target_candidate,,tea-gis-jalpaiguri-atlas-2015|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-kurti,Kurti,kurti,active_confirmed,high,2026-09-02,Jalpaiguri,Nagrakata,2616,67,659.00,417.93,,high,2026-09-02,yes,needs_current_owner,excluded_current_client,Current GardenSuite client,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,Existing GardenSuite client - excluded from cold outreach campaigns.
gs-dooars-lakhikanta,Lakhikanta,lakhikanta,unknown,unknown,,,Dhupguri,127/87,68,341.89,64.52,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-lakhipara,Lakhipara,lakhipara,active_confirmed,high,2026-09-02,Jalpaiguri,Nagrakata,B-14,69,919.55,627.47,gs-company-goodricke-group-ltd,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-lankapara,Lankapara,lankapara,temporarily_closed,medium,2026-09-02,Alipurduar,Nagrakata,2632,70,1275.70,758.45,,unknown,2025-03-18,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-lessriver,Lessriver,lessriver,active_confirmed,high,2026-09-02,Jalpaiguri,Matelli,B-02,71,1029.43,634.61,gs-company-goodricke-group-ltd,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-looksun,Looksan,looksan,active_confirmed,high,2026-09-02,Jalpaiguri,Nagrakata,2441,72,747.56,424.69,,high,2026-09-02,yes,needs_current_owner,excluded_current_client,Current GardenSuite client,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Existing GardenSuite client - excluded from cold outreach campaigns.
gs-dooars-madhu,Madhu,madhu,unknown,unknown,,Alipurduar,Kalchini,55,73,451.42,323.08,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-majherdabri,Majherdabri,majherdabri,unknown,unknown,,Alipurduar,Alipurduar,175,74,486.50,382.27,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-malnuddy,Malnuddy,malnuddy,unknown,unknown,,Jalpaiguri,Matelli,28,75,144.28,97.69,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-manabarie,Manabarie,manabarie,likely_active,medium,2026-09-02,Jalpaiguri,Matelli,2307,76,521.72,292,,unknown,2025-02-18,no,needs_current_owner,target_candidate,,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-matelli,Matelli,matelli,unknown,unknown,,Jalpaiguri,Matelli,N 8&9,77,1046,730.08,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-mathura,Mathura,mathura,active_confirmed,high,2026-09-02,Alipurduar,Alipurduar,9,78,984.01,701.18,gs-company-mcleod-russel-india-ltd,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-mechapara,Mechapara,mechapara,unknown,unknown,,,Kalchini,2580,79,752.45,516.00,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-meenglass,Meenglass,meenglass,active_confirmed,high,2026-09-02,Jalpaiguri,Matelli,B-5,80,928.56,643.96,gs-company-goodricke-group-ltd,high,2026-09-02,no,needs_contact,excluded_large_group,Public company or large multi-estate group,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Official atlas seed. Historical presence does not prove current operation.
gs-dooars-mogalkata,Mogulkata,mogulkata,active_confirmed,high,2026-09-02,Jalpaiguri,Nagrakata,2524,81,662.84,408.39,,high,2026-09-02,yes,needs_current_owner,excluded_current_client,Current GardenSuite client,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013|tea-board-registered-planters-2019,Existing GardenSuite client - excluded from cold outreach campaigns.
gs-dooars-moraghat,Moraghat,moraghat,unknown,unknown,,,Nagrakata,2546,82,604.38,514.86,,unknown,,no,needs_current_evidence,not_active,Not currently in an active status,tea-gis-jalpaiguri-atlas-2015|tea-board-wb-directory-2013,Official atlas seed. Historical presence does not prove current operation.
